alpha beta Cn_a20
50 15 -0.0546
55 15 -0.0422
60 15 -0.0226
70 15 0.0069
80 15 0.0007
90 15 0.0126
-20 20 0.029
-15 20 0.0287
-10 20 0.0328
-5 20 0.0626
0 20 0.0691
5 20 0.0734
10 20 0.0726
15 20 0.0584
20 20 0.0451
25 20 0.0306
30 20 -0.0055
35 20 -0.0323
40 20 -0.0724
45 20 -0.0549
50 20 -0.0318
55 20 -0.0375
60 20 -0.025
70 20 0.0062
80 20 -0.0047
90 20 0.0054
-20 25 0.0302
-15 25 0.0351
-10 25 0.0383
-5 25 0.0782
0 25 0.087
5 25 0.0895
10 25 0.0852
15 25 0.0654
20 25 0.0507
25 25 0.0421
30 25 0.0084
35 25 -0.0132
40 25 -0.0233
45 25 -0.0286
50 25 -0.0118
55 25 0.0005
60 25 0.0039
70 25 -0.0056
80 25 -0.0093
90 25 0.0004
-20 30 0.0313
-15 30 0.0416
-10 30 0.0463
-5 30 0.0868
0 30 0.101
5 30 0.104
10 30 0.095
15 30 0.0814
20 30 0.0616
25 30 0.0458
30 30 0.0362
35 30 0.0155
40 30 0.0033
45 30 -0.0191
50 30 -0.0052
55 30 -0.0019
60 30 -0.0016
70 30 -0.01
80 30 -0.0089
90 30 -0.0029
