alpha beta Cy_r30
10 20 -0.3619
15 20 -0.3396
20 20 -0.2911
25 20 -0.2651
30 20 -0.2219
35 20 -0.2196
40 20 -0.226
45 20 -0.1835
50 20 -0.1719
55 20 -0.2434
60 20 -0.2515
70 20 -0.1991
80 20 -0.1978
90 20 -0.1861
-20 25 -0.205
-15 25 -0.193
-10 25 -0.26
-5 25 -0.4
0 25 -0.425
5 25 -0.439
10 25 -0.434
15 25 -0.42
20 25 -0.401
25 25 -0.362
30 25 -0.3
35 25 -0.291
40 25 -0.2711
45 25 -0.2141
50 25 -0.1739
55 25 -0.2003
60 25 -0.216
70 25 -0.2307
80 25 -0.2422
90 25 -0.2362
-20 30 -0.273
-15 30 -0.263
-10 30 -0.317
-5 30 -0.468
0 30 -0.495
5 30 -0.51
10 30 -0.535
15 30 -0.535
20 30 -0.51
25 30 -0.459
30 30 -0.36
35 30 -0.31
40 30 -0.2624
45 30 -0.2827
50 30 -0.219
55 30 -0.24
60 30 -0.2518
70 30 -0.2705
80 30 -0.2889
90 30 -0.2997
