alpha beta ele Cz
35 -30 10 -1.69
40 -30 10 -1.849
45 -30 10 -1.59
50 -30 10 -1.707
55 -30 10 -1.735
60 -30 10 -1.799
70 -30 10 -1.753
80 -30 10 -2.067
90 -30 10 -2.008
-20 -25 10 1.066
-15 -25 10 0.838
-10 -25 10 0.618
-5 -25 10 0.176
0 -25 10 -0.1
5 -25 10 -0.4
10 -25 10 -0.63
15 -25 10 -0.947
20 -25 10 -1.2
25 -25 10 -1.458
30 -25 10 -1.63
35 -25 10 -1.856
40 -25 10 -1.949
45 -25 10 -1.484
50 -25 10 -1.891
55 -25 10 -1.838
60 -25 10 -1.889
70 -25 10 -1.752
80 -25 10 -2.123
90 -25 10 -2.02
-20 -20 10 1.116
-15 -20 10 0.846
-10 -20 10 0.603
-5 -20 10 0.179
0 -20 10 -0.125
5 -20 10 -0.444
10 -20 10 -0.715
15 -20 10 -1.031
20 -20 10 -1.287
25 -20 10 -1.56
30 -20 10 -1.74
35 -20 10 -2.006
40 -20 10 -2.054
45 -20 10 -1.741
50 -20 10 -2.013
55 -20 10 -1.844
60 -20 10 -1.917
70 -20 10 -1.797
80 -20 10 -2.107
90 -20 10 -1.955
-20 -15 10 1.126
-15 -15 10 0.863
-10 -15 10 0.609
-5 -15 10 0.184
0 -15 10 -0.131
5 -15 10 -0.474
10 -15 10 -0.768
15 -15 10 -1.097
20 -15 10 -1.356
25 -15 10 -1.655
30 -15 10 -1.854
35 -15 10 -2.136
40 -15 10 -2.169
45 -15 10 -2
50 -15 10 -2.255
55 -15 10 -1.904
60 -15 10 -1.942
70 -15 10 -1.779
80 -15 10 -2.145
90 -15 10 -2.076
-20 -10 10 1.139
-15 -10 10 0.854
-10 -10 10 0.606
-5 -10 10 0.198
0 -10 10 -0.122
5 -10 10 -0.48
10 -10 10 -0.806
15 -10 10 -1.133
20 -10 10 -1.404
25 -10 10 -1.741
30 -10 10 -1.968
35 -10 10 -2.252
40 -10 10 -2.29
45 -10 10 -2.193
50 -10 10 -2.141
55 -10 10 -2.133
60 -10 10 -2.097
70 -10 10 -1.987
80 -10 10 -2.053
90 -10 10 -2.026
-20 -8 10 1.108
-15 -8 10 0.848
-10 -8 10 0.602
-5 -8 10 0.212
0 -8 10 -0.12
5 -8 10 -0.48
10 -8 10 -0.81
15 -8 10 -1.147
20 -8 10 -1.431
25 -8 10 -1.771
30 -8 10 -2.037
35 -8 10 -2.255
40 -8 10 -2.361
45 -8 10 -2.279
50 -8 10 -2.2
55 -8 10 -2.159
60 -8 10 -2.065
70 -8 10 -2.048
80 -8 10 -1.911
90 -8 10 -2.116
-20 -6 10 1.103
-15 -6 10 0.844
-10 -6 10 0.599
-5 -6 10 0.213
0 -6 10 -0.114
5 -6 10 -0.481
10 -6 10 -0.824
15 -6 10 -1.167
20 -6 10 -1.446
25 -6 10 -1.771
30 -6 10 -2.07
35 -6 10 -2.26
40 -6 10 -2.343
45 -6 10 -2.186
50 -6 10 -2.204
55 -6 10 -2.217
60 -6 10 -2.112
70 -6 10 -2.157
80 -6 10 -1.974
90 -6 10 -2.061
-20 -4 10 1.07
-15 -4 10 0.841
-10 -4 10 0.592
-5 -4 10 0.215
0 -4 10 -0.112
5 -4 10 -0.486
10 -4 10 -0.833
15 -4 10 -1.175
20 -4 10 -1.453
25 -4 10 -1.782
30 -4 10 -2.081
35 -4 10 -2.326
40 -4 10 -2.375
45 -4 10 -2.262
50 -4 10 -2.165
55 -4 10 -2.209
60 -4 10 -2.123
70 -4 10 -2.149
80 -4 10 -2.024
90 -4 10 -2.057
-20 -2 10 1.041
-15 -2 10 0.846
-10 -2 10 0.6
-5 -2 10 0.202
0 -2 10 -0.115
5 -2 10 -0.487
10 -2 10 -0.844
15 -2 10 -1.182
20 -2 10 -1.445
25 -2 10 -1.794
30 -2 10 -2.083
35 -2 10 -2.317
40 -2 10 -2.284
45 -2 10 -2.395
50 -2 10 -2.179
55 -2 10 -2.184
60 -2 10 -2.14
70 -2 10 -2.048
80 -2 10 -1.926
90 -2 10 -2.073
-20 0 10 1.039
-15 0 10 0.849
-10 0 10 0.596
-5 0 10 0.205
0 0 10 -0.114
5 0 10 -0.49
10 0 10 -0.849
15 0 10 -1.177
20 0 10 -1.442
25 0 10 -1.789
30 0 10 -2.082
35 0 10 -2.308
40 0 10 -2.411
45 0 10 -2.306
50 0 10 -2.261
55 0 10 -2.231
60 0 10 -2.185
70 0 10 -2.268
80 0 10 -1.94
90 0 10 -2.057
-20 2 10 1.071
-15 2 10 0.856
-10 2 10 0.605
-5 2 10 0.202
0 2 10 -0.117
5 2 10 -0.49
10 2 10 -0.851
15 2 10 -1.171
20 2 10 -1.435
25 2 10 -1.787
30 2 10 -2.08
35 2 10 -2.355
40 2 10 -2.419
45 2 10 -2.373
50 2 10 -2.283
55 2 10 -2.186
60 2 10 -2.164
70 2 10 -2.178
80 2 10 -1.967
90 2 10 -2.034
-20 4 10 1.076
-15 4 10 0.852
-10 4 10 0.607
-5 4 10 0.198
0 4 10 -0.117
5 4 10 -0.504
10 4 10 -0.842
15 4 10 -1.176
20 4 10 -1.43
25 4 10 -1.791
30 4 10 -2.07
35 4 10 -2.341
40 4 10 -2.402
45 4 10 -2.369
50 4 10 -2.281
55 4 10 -2.068
60 4 10 -2.065
70 4 10 -2.064
80 4 10 -1.891
90 4 10 -2.033
-20 6 10 1.089
-15 6 10 0.853
-10 6 10 0.609
-5 6 10 0.192
0 6 10 -0.121
5 6 10 -0.496
10 6 10 -0.846
15 6 10 -1.175
20 6 10 -1.434
25 6 10 -1.775
30 6 10 -2.054
35 6 10 -2.302
40 6 10 -2.345
45 6 10 -2.295
50 6 10 -2.294
55 6 10 -2.115
60 6 10 -2.107
70 6 10 -2.142
80 6 10 -1.978
90 6 10 -2.03
-20 8 10 1.086
-15 8 10 0.848
-10 8 10 0.609
-5 8 10 0.183
0 8 10 -0.123
5 8 10 -0.491
10 8 10 -0.831
15 8 10 -1.171
20 8 10 -1.428
25 8 10 -1.775
30 8 10 -2.039
35 8 10 -2.259
40 8 10 -2.333
45 8 10 -2.293
50 8 10 -2.182
55 8 10 -2.145
60 8 10 -2.142
70 8 10 -2.161
80 8 10 -1.976
90 8 10 -2.095
-20 10 10 1.078
-15 10 10 0.863
-10 10 10 0.609
-5 10 10 0.18
0 10 10 -0.126
5 10 10 -0.493
10 10 10 -0.825
15 10 10 -1.158
20 10 10 -1.414
25 10 10 -1.76
30 10 10 -2.016
35 10 10 -2.219
40 10 10 -2.303
45 10 10 -2.262
50 10 10 -2.218
55 10 10 -2.18
60 10 10 -2.121
70 10 10 -2.102
80 10 10 -1.872
90 10 10 -1.996
-20 15 10 1.07
-15 15 10 0.863
-10 15 10 0.607
-5 15 10 0.165
0 15 10 -0.134
5 15 10 -0.483
10 15 10 -0.801
15 15 10 -1.12
20 15 10 -1.357
25 15 10 -1.646
30 15 10 -1.929
35 15 10 -2.081
40 15 10 -2.163
45 15 10 -2.175
50 15 10 -2.178
55 15 10 -1.951
60 15 10 -1.966
70 15 10 -1.894
80 15 10 -1.964
90 15 10 -2.046
-20 20 10 1.046
-15 20 10 0.856
-10 20 10 0.607
-5 20 10 0.163
0 20 10 -0.122
5 20 10 -0.458
10 20 10 -0.752
15 20 10 -1.047
20 20 10 -1.286
25 20 10 -1.582
30 20 10 -1.79
35 20 10 -1.938
40 20 10 -2.065
45 20 10 -1.993
50 20 10 -1.936
55 20 10 -1.891
60 20 10 -1.941
70 20 10 -1.912
80 20 10 -1.926
90 20 10 -1.925
-20 25 10 1.007
-15 25 10 0.841
-10 25 10 0.611
-5 25 10 0.155
0 25 10 -0.109
5 25 10 -0.412
10 25 10 -0.676
15 25 10 -0.954
20 25 10 -1.215
25 25 10 -1.473
30 25 10 -1.673
35 25 10 -1.76
40 25 10 -1.971
45 25 10 -1.555
50 25 10 -1.814
55 25 10 -1.885
60 25 10 -1.913
70 25 10 -1.867
80 25 10 -1.942
90 25 10 -1.99
-20 30 10 0.957
-15 30 10 0.82
-10 30 10 0.619
-5 30 10 0.169
0 30 10 -0.075
5 30 10 -0.354
10 30 10 -0.595
15 30 10 -0.864
20 30 10 -1.11
25 30 10 -1.37
30 30 10 -1.563
35 30 10 -1.679
40 30 10 -1.878
45 30 10 -1.661
50 30 10 -1.63
55 30 10 -1.782
60 30 10 -1.823
70 30 10 -1.868
80 30 10 -1.886
90 30 10 -1.978
-20 -30 25 0.723
-15 -30 25 0.512
-10 -30 25 0.249
-5 -30 25 0.1
0 -30 25 -0.15
5 -30 25 -0.385
10 -30 25 -0.62
15 -30 25 -0.865
20 -30 25 -1.055
25 -30 25 -1.36
30 -30 25 -1.52
35 -30 25 -1.615
40 -30 25 -1.775
45 -30 25 -1.74
50 -30 25 -1.57
55 -30 25 -1.7
60 -30 25 -1.795
70 -30 25 -1.78
80 -30 25 -1.95
90 -30 25 -1.925
-20 -25 25 0.75
-15 -25 25 0.495
-10 -25 25 0.212
-5 -25 25 0.09
0 -25 25 -0.19
5 -25 25 -0.46
10 -25 25 -0.69
15 -25 25 -0.99
20 -25 25 -1.195
25 -25 25 -1.46
30 -25 25 -1.635
35 -25 25 -1.75
40 -25 25 -1.875
45 -25 25 -1.845
50 -25 25 -1.74
55 -25 25 -1.81
60 -25 25 -1.895
70 -25 25 -1.785
80 -25 25 -1.98
90 -25 25 -1.92
-20 -20 25 0.744
-15 -20 25 0.461
-10 -20 25 0.186
-5 -20 25 0.09
0 -20 25 -0.22
5 -20 25 -0.515
10 -20 25 -0.76
15 -20 25 -1.09
20 -20 25 -1.32
25 -20 25 -1.57
30 -20 25 -1.75
35 -20 25 -1.875
40 -20 25 -1.98
45 -20 25 -1.925
50 -20 25 -1.9
55 -20 25 -1.88
60 -20 25 -1.96
70 -20 25 -1.79
80 -20 25 -1.98
90 -20 25 -1.87
-20 -15 25 0.744
-15 -15 25 0.465
-10 -15 25 0.195
-5 -15 25 0.095
0 -15 25 -0.235
5 -15 25 -0.555
10 -15 25 -0.83
15 -15 25 -1.17
20 -15 25 -1.43
25 -15 25 -1.67
30 -15 25 -1.87
35 -15 25 -1.995
40 -15 25 -2.095
45 -15 25 -2
50 -15 25 -2.05
55 -15 25 -1.95
60 -15 25 -2.02
70 -15 25 -1.81
80 -15 25 -1.96
90 -15 25 -1.885
-20 -10 25 0.711
-15 -10 25 0.47
-10 -10 25 0.203
-5 -10 25 0.111
0 -10 25 -0.232
5 -10 25 -0.566
10 -10 25 -0.892
15 -10 25 -1.208
20 -10 25 -1.519
25 -10 25 -1.763
30 -10 25 -1.989
35 -10 25 -2.111
40 -10 25 -2.216
45 -10 25 -2.13
50 -10 25 -2.156
55 -10 25 -2.043
60 -10 25 -2.113
70 -10 25 -1.873
80 -10 25 -1.911
90 -10 25 -1.969
-20 -8 25 0.709
-15 -8 25 0.47
-10 -8 25 0.205
-5 -8 25 0.122
0 -8 25 -0.224
5 -8 25 -0.563
10 -8 25 -0.891
15 -8 25 -1.215
20 -8 25 -1.55
25 -8 25 -1.797
30 -8 25 -2.058
35 -8 25 -2.154
40 -8 25 -2.287
45 -8 25 -2.251
50 -8 25 -2.216
55 -8 25 -2.17
60 -8 25 -2.094
70 -8 25 -1.943
80 -8 25 -1.881
90 -8 25 -2.071
-20 -6 25 0.697
-15 -6 25 0.471
-10 -6 25 0.202
-5 -6 25 0.122
0 -6 25 -0.224
5 -6 25 -0.566
10 -6 25 -0.91
15 -6 25 -1.239
20 -6 25 -1.564
25 -6 25 -1.794
30 -6 25 -2.095
35 -6 25 -2.2
40 -6 25 -2.269
45 -6 25 -2.286
50 -6 25 -2.203
55 -6 25 -2.184
60 -6 25 -2.124
70 -6 25 -2.059
80 -6 25 -1.955
90 -6 25 -2.029
-20 -4 25 0.697
-15 -4 25 0.467
-10 -4 25 0.203
-5 -4 25 0.122
0 -4 25 -0.221
5 -4 25 -0.571
10 -4 25 -0.924
15 -4 25 -1.25
20 -4 25 -1.558
25 -4 25 -1.806
30 -4 25 -2.107
35 -4 25 -2.24
40 -4 25 -2.301
45 -4 25 -2.27
50 -4 25 -2.158
55 -4 25 -2.111
60 -4 25 -2.124
70 -4 25 -2.274
80 -4 25 -2.005
90 -4 25 -2.039
-20 -2 25 0.696
-15 -2 25 0.483
-10 -2 25 0.207
-5 -2 25 0.121
0 -2 25 -0.227
5 -2 25 -0.572
10 -2 25 -0.939
15 -2 25 -1.269
20 -2 25 -1.555
25 -2 25 -1.82
30 -2 25 -2.112
35 -2 25 -2.242
40 -2 25 -2.21
45 -2 25 -2.239
50 -2 25 -2.175
55 -2 25 -2.204
60 -2 25 -2.134
70 -2 25 -2
80 -2 25 -1.894
90 -2 25 -2.07
-20 0 25 0.71
-15 0 25 0.476
-10 0 25 0.205
-5 0 25 0.125
0 0 25 -0.228
5 0 25 -0.578
10 0 25 -0.946
15 0 25 -1.253
20 0 25 -1.554
25 0 25 -1.814
30 0 25 -2.108
35 0 25 -2.248
40 0 25 -2.337
45 0 25 -2.327
50 0 25 -2.261
55 0 25 -2.231
60 0 25 -2.174
70 0 25 -2.259
80 0 25 -1.899
90 0 25 -2.069
-20 2 25 0.704
-15 2 25 0.481
-10 2 25 0.2
-5 2 25 0.121
0 2 25 -0.231
5 2 25 -0.578
10 2 25 -0.949
15 2 25 -1.24
20 2 25 -1.563
25 2 25 -1.811
30 2 25 -2.106
35 2 25 -2.261
40 2 25 -2.345
45 2 25 -2.289
50 2 25 -2.266
55 2 25 -2.203
60 2 25 -2.177
70 2 25 -2.211
80 2 25 -2.009
90 2 25 -2.026
-20 4 25 0.715
-15 4 25 0.472
-10 4 25 0.194
-5 4 25 0.114
0 4 25 -0.232
5 4 25 -0.599
10 4 25 -0.936
15 4 25 -1.255
20 4 25 -1.549
25 4 25 -1.816
30 4 25 -2.094
35 4 25 -2.255
40 4 25 -2.328
45 4 25 -2.288
50 4 25 -2.262
55 4 25 -2.102
60 4 25 -2.103
70 4 25 -1.885
80 4 25 -2.014
90 4 25 -2.005
-20 6 25 0.72
-15 6 25 0.475
-10 6 25 0.198
-5 6 25 0.107
0 6 25 -0.239
5 6 25 -0.588
10 6 25 -0.945
15 6 25 -1.255
20 6 25 -1.577
25 6 25 -1.798
30 6 25 -2.079
35 6 25 -2.231
40 6 25 -2.271
45 6 25 -2.312
50 6 25 -2.255
55 6 25 -2.135
60 6 25 -2.153
70 6 25 -2.221
80 6 25 -2.101
90 6 25 -2
-20 8 25 0.721
-15 8 25 0.473
-10 8 25 0.198
-5 8 25 0.097
0 8 25 -0.241
5 8 25 -0.577
10 8 25 -0.924
15 8 25 -1.257
20 8 25 -1.578
25 8 25 -1.8
30 8 25 -2.066
35 8 25 -2.198
40 8 25 -2.259
45 8 25 -2.282
50 8 25 -2.153
55 8 25 -2.173
60 8 25 -2.176
70 8 25 -2.212
80 8 25 -2.014
90 8 25 -2.085
-20 10 25 0.721
-15 10 25 0.473
-10 10 25 0.201
-5 10 25 0.101
0 10 25 -0.244
5 10 25 -0.579
10 10 25 -0.913
15 10 25 -1.245
20 10 25 -1.563
25 10 25 -1.785
30 10 25 -2.043
35 10 25 -2.155
40 10 25 -2.229
45 10 25 -2.232
50 10 25 -2.201
55 10 25 -2.107
60 10 25 -2.144
70 10 25 -2.125
80 10 25 -1.825
90 10 25 -2.007
-20 15 25 0.75
-15 15 25 0.465
-10 15 25 0.185
-5 15 25 0.081
0 15 25 -0.244
5 15 25 -0.559
10 15 25 -0.876
15 15 25 -1.198
20 15 25 -1.453
25 15 25 -1.661
30 15 25 -1.943
35 15 25 -2.037
40 15 25 -2.089
45 15 25 -2.099
50 15 25 -2.11
55 15 25 -1.95
60 15 25 -2
70 15 25 -1.97
80 15 25 -1.84
90 15 25 -1.935
-20 20 25 0.75
-15 20 25 0.47
-10 20 25 0.19
-5 20 25 0.077
0 20 25 -0.232
5 20 25 -0.528
10 20 25 -0.813
15 20 25 -1.103
20 20 25 -1.358
25 20 25 -1.595
30 20 25 -1.804
35 20 25 -1.915
40 20 25 -1.991
45 20 25 -2.03
50 20 25 -1.984
55 20 25 -1.892
60 20 25 -1.96
70 20 25 -1.907
80 20 25 -1.899
90 20 25 -1.948
-20 25 25 0.74
-15 25 25 0.49
-10 25 25 0.21
-5 25 25 0.077
0 25 25 -0.207
5 25 25 -0.467
10 25 25 -0.724
15 25 25 -0.99
20 25 25 -1.241
25 25 25 -1.479
30 25 25 -1.681
35 25 25 -1.76
40 25 25 -1.897
45 25 25 -1.945
50 25 25 -1.841
55 25 25 -1.877
60 25 25 -1.93
70 25 25 -1.882
80 25 25 -1.922
90 25 25 -1.989
-20 30 25 0.71
-15 30 25 0.515
-10 30 25 0.25
-5 30 25 0.093
0 30 25 -0.164
5 30 25 -0.398
10 30 25 -0.626
15 30 25 -0.891
20 30 25 -1.097
25 30 25 -1.371
30 30 25 -1.568
35 30 25 -1.67
40 30 25 -1.804
45 30 25 -1.834
50 30 25 -1.637
55 30 25 -1.765
60 30 25 -1.838
70 30 25 -1.874
80 30 25 -1.873
90 30 25 -1.951
