alpha beta ele Cz
35 6 -25 -1.891
40 6 -25 -1.969
45 6 -25 -1.913
50 6 -25 -2.03
55 6 -25 -1.895
60 6 -25 -1.933
70 6 -25 -1.932
80 6 -25 -1.848
90 6 -25 -1.962
-20 8 -25 1.338
-15 8 -25 1.131
-10 8 -25 0.881
-5 8 -25 0.446
0 8 -25 0.138
5 8 -25 -0.195
10 8 -25 -0.521
15 8 -25 -0.836
20 8 -25 -1.135
25 8 -25 -1.44
30 8 -25 -1.67
35 8 -25 -1.846
40 8 -25 -1.836
45 8 -25 -1.918
50 8 -25 -1.942
55 8 -25 -1.928
60 8 -25 -1.952
70 8 -25 -1.952
80 8 -25 -1.858
90 8 -25 -2.048
-20 10 -25 1.294
-15 10 -25 1.137
-10 10 -25 0.875
-5 10 -25 0.44
0 10 -25 0.129
5 10 -25 -0.194
10 10 -25 -0.515
15 10 -25 -0.827
20 10 -25 -1.129
25 10 -25 -1.415
30 10 -25 -1.651
35 10 -25 -1.8
40 10 -25 -1.918
45 10 -25 -1.946
50 10 -25 -2.002
55 10 -25 -1.965
60 10 -25 -1.915
70 10 -25 -1.893
80 10 -25 -1.774
90 10 -25 -1.97
-20 15 -25 1.235
-15 15 -25 1.13
-10 15 -25 0.835
-5 15 -25 0.424
0 15 -25 0.119
5 15 -25 -0.187
10 15 -25 -0.498
15 15 -25 -0.801
20 15 -25 -1.077
25 15 -25 -1.356
30 15 -25 -1.58
35 15 -25 -1.721
40 15 -25 -1.839
45 15 -25 -1.911
50 15 -25 -1.87
55 15 -25 -1.755
60 15 -25 -1.78
70 15 -25 -1.8
80 15 -25 -1.81
90 15 -25 -1.895
-20 20 -25 1.185
-15 20 -25 1.1
-10 20 -25 0.821
-5 20 -25 0.405
0 20 -25 0.137
5 20 -25 -0.171
10 20 -25 -0.465
15 20 -25 -0.738
20 20 -25 -0.994
25 20 -25 -1.288
30 20 -25 -1.477
35 20 -25 -1.64
40 20 -25 -1.755
45 20 -25 -1.824
50 20 -25 -1.738
