alpha beta ele Cx
-15 6 -25 -0.1868
-10 6 -25 -0.1711
-5 6 -25 -0.141
0 6 -25 -0.111
5 6 -25 -0.0664
10 6 -25 -0.0088
15 6 -25 0.0527
20 6 -25 0.0913
25 6 -25 0.1136
30 6 -25 0.1379
35 6 -25 0.1637
40 6 -25 0.1655
45 6 -25 0.1625
50 6 -25 0.1749
55 6 -25 0.1677
60 6 -25 0.1734
70 6 -25 0.173
80 6 -25 0.1586
90 6 -25 0.1664
-20 8 -25 -0.1896
-15 8 -25 -0.1848
-10 8 -25 -0.1706
-5 8 -25 -0.1397
0 8 -25 -0.1102
5 8 -25 -0.065
10 8 -25 -0.0083
15 8 -25 0.0509
20 8 -25 0.0867
25 8 -25 0.1115
30 8 -25 0.1359
35 8 -25 0.156
40 8 -25 0.1611
45 8 -25 0.1597
50 8 -25 0.1725
55 8 -25 0.1724
60 8 -25 0.1721
70 8 -25 0.172
80 8 -25 0.1558
90 8 -25 0.1711
-20 10 -25 -0.1883
-15 10 -25 -0.1841
-10 10 -25 -0.1698
-5 10 -25 -0.1372
0 10 -25 -0.1092
5 10 -25 -0.0649
10 10 -25 -0.008
15 10 -25 0.0485
20 10 -25 0.0824
25 10 -25 0.1075
30 10 -25 0.1323
35 10 -25 0.146
40 10 -25 0.1567
45 10 -25 0.1573
50 10 -25 0.173
55 10 -25 0.1761
60 10 -25 0.1688
70 10 -25 0.1686
80 10 -25 0.1572
90 10 -25 0.1677
-20 15 -25 -0.1833
-15 15 -25 -0.1852
-10 15 -25 -0.1721
-5 15 -25 -0.1299
0 15 -25 -0.1065
5 15 -25 -0.0631
10 15 -25 -0.0107
15 15 -25 0.041
20 15 -25 0.0702
25 15 -25 0.1041
30 15 -25 0.1214
35 15 -25 0.1336
40 15 -25 0.1434
45 15 -25 0.154
50 15 -25 0.1537
55 15 -25 0.1722
60 15 -25 0.1471
70 15 -25 0.1474
80 15 -25 0.141
90 15 -25 0.1531
-20 20 -25 -0.1838
-15 20 -25 -0.1817
-10 20 -25 -0.1695
-5 20 -25 -0.1258
0 20 -25 -0.1015
5 20 -25 -0.0594
10 20 -25 -0.0105
15 20 -25 0.0396
20 20 -25 0.0703
25 20 -25 0.1076
30 20 -25 0.111
35 20 -25 0.1256
40 20 -25 0.1343
45 20 -25 0.1541
50 20 -25 0.1457
55 20 -25 0.1347
60 20 -25 0.1462
70 20 -25 0.1567
80 20 -25 0.141
90 20 -25 0.1493
-20 25 -25 -0.1787
-15 25 -25 -0.179
-10 25 -25 -0.163
-5 25 -25 -0.1214
0 25 -25 -0.0957
5 25 -25 -0.0558
10 25 -25 -0.0114
15 25 -25 0.0366
20 25 -25 0.0713
25 25 -25 0.1098
30 25 -25 0.1145
35 25 -25 0.1195
40 25 -25 0.143
45 25 -25 0.1539
50 25 -25 0.1435
55 25 -25 0.1448
60 25 -25 0.1486
70 25 -25 0.1557
80 25 -25 0.1467
90 25 -25 0.1549
-20 30 -25 -0.1771
-15 30 -25 -0.1739
-10 30 -25 -0.1534
-5 30 -25 -0.1133
0 30 -25 -0.0879
5 30 -25 -0.0505
10 30 -25 -0.0085
15 30 -25 0.0362
20 30 -25 0.0697
25 30 -25 0.1066
30 30 -25 0.105
35 30 -25 0.1137
40 30 -25 0.1299
45 30 -25 0.1471
50 30 -25 0.1362
55 30 -25 0.1442
60 30 -25 0.146
70 30 -25 0.1545
80 30 -25 0.1538
90 30 -25 0.1624
-20 -30 -10 -0.1362
-15 -30 -10 -0.1216
-10 -30 -10 -0.1018
-5 -30 -10 -0.0655
0 -30 -10 -0.0483
5 -30 -10 -0.0118
10 -30 -10 0.0268
15 -30 -10 0.0735
20 -30 -10 0.1222
25 -30 -10 0.1374
30 -30 -10 0.1056
35 -30 -10 0.1075
40 -30 -10 0.1335
45 -30 -10 0.1521
50 -30 -10 0.1346
55 -30 -10 0.1375
60 -30 -10 0.1316
70 -30 -10 0.1171
80 -30 -10 0.1201
90 -30 -10 0.1287
-20 -25 -10 -0.1351
-15 -25 -10 -0.1245
-10 -25 -10 -0.1066
-5 -25 -10 -0.0706
0 -25 -10 -0.0509
5 -25 -10 -0.0106
10 -25 -10 0.0328
15 -25 -10 0.08
20 -25 -10 0.1275
25 -25 -10 0.1474
30 -25 -10 0.1261
35 -25 -10 0.1154
40 -25 -10 0.1412
45 -25 -10 0.1486
50 -25 -10 0.141
55 -25 -10 0.1367
60 -25 -10 0.136
70 -25 -10 0.1174
80 -25 -10 0.1161
90 -25 -10 0.1241
-20 -20 -10 -0.1419
-15 -20 -10 -0.1235
-10 -20 -10 -0.1068
-5 -20 -10 -0.0746
0 -20 -10 -0.0532
5 -20 -10 -0.0096
10 -20 -10 0.0367
15 -20 -10 0.0887
20 -20 -10 0.1258
25 -20 -10 0.1466
30 -20 -10 0.1297
35 -20 -10 0.1299
40 -20 -10 0.1365
45 -20 -10 0.1517
50 -20 -10 0.1422
55 -20 -10 0.1251
60 -20 -10 0.1355
70 -20 -10 0.1185
80 -20 -10 0.1136
90 -20 -10 0.1214
-20 -15 -10 -0.1386
-15 -15 -10 -0.1208
-10 -15 -10 -0.1071
-5 -15 -10 -0.0771
0 -15 -10 -0.0544
5 -15 -10 -0.0102
10 -15 -10 0.0399
15 -15 -10 0.0934
20 -15 -10 0.1249
25 -15 -10 0.1454
30 -15 -10 0.1437
35 -15 -10 0.1377
40 -15 -10 0.1456
45 -15 -10 0.152
50 -15 -10 0.1486
55 -15 -10 0.1336
60 -15 -10 0.1154
70 -15 -10 0.1108
80 -15 -10 0.1124
90 -15 -10 0.1221
-20 -10 -10 -0.1374
-15 -10 -10 -0.1176
-10 -10 -10 -0.1061
-5 -10 -10 -0.0836
0 -10 -10 -0.0578
5 -10 -10 -0.0142
10 -10 -10 0.0412
15 -10 -10 0.0983
20 -10 -10 0.1326
25 -10 -10 0.1465
30 -10 -10 0.15
35 -10 -10 0.1523
40 -10 -10 0.1597
45 -10 -10 0.1608
50 -10 -10 0.1561
55 -10 -10 0.1467
60 -10 -10 0.1285
70 -10 -10 0.1161
80 -10 -10 0.1158
90 -10 -10 0.1265
-20 -8 -10 -0.133
-15 -8 -10 -0.1176
-10 -8 -10 -0.1068
-5 -8 -10 -0.0864
0 -8 -10 -0.0589
5 -8 -10 -0.0148
10 -8 -10 0.0417
15 -8 -10 0.1006
20 -8 -10 0.1347
25 -8 -10 0.1485
30 -8 -10 0.1619
35 -8 -10 0.1581
40 -8 -10 0.1622
45 -8 -10 0.1613
50 -8 -10 0.157
55 -8 -10 0.1472
60 -8 -10 0.1289
70 -8 -10 0.1187
80 -8 -10 0.1148
90 -8 -10 0.1256
-20 -6 -10 -0.1268
-15 -6 -10 -0.117
-10 -6 -10 -0.1072
-5 -6 -10 -0.0876
0 -6 -10 -0.0597
5 -6 -10 -0.0155
10 -6 -10 0.0408
15 -6 -10 0.1024
20 -6 -10 0.135
25 -6 -10 0.1485
30 -6 -10 0.1655
35 -6 -10 0.1722
40 -6 -10 0.1725
45 -6 -10 0.1597
50 -6 -10 0.1538
55 -6 -10 0.1475
60 -6 -10 0.1336
70 -6 -10 0.1376
80 -6 -10 0.1149
90 -6 -10 0.1257
-20 -4 -10 -0.1249
-15 -4 -10 -0.1177
-10 -4 -10 -0.1083
-5 -4 -10 -0.0887
0 -4 -10 -0.0606
5 -4 -10 -0.0161
10 -4 -10 0.0413
15 -4 -10 0.1034
20 -4 -10 0.1349
25 -4 -10 0.1453
30 -4 -10 0.166
35 -4 -10 0.1789
40 -4 -10 0.1762
45 -4 -10 0.1671
50 -4 -10 0.1511
55 -4 -10 0.1465
60 -4 -10 0.1351
70 -4 -10 0.1312
80 -4 -10 0.1194
90 -4 -10 0.1236
-20 -2 -10 -0.1222
-15 -2 -10 -0.1184
-10 -2 -10 -0.1094
-5 -2 -10 -0.0889
0 -2 -10 -0.0613
5 -2 -10 -0.0177
10 -2 -10 0.0406
15 -2 -10 0.1033
20 -2 -10 0.1325
25 -2 -10 0.1429
30 -2 -10 0.1663
35 -2 -10 0.1801
40 -2 -10 0.1798
45 -2 -10 0.1667
50 -2 -10 0.1515
55 -2 -10 0.1462
60 -2 -10 0.1372
70 -2 -10 0.1353
80 -2 -10 0.1177
90 -2 -10 0.1248
-20 0 -10 -0.1223
-15 0 -10 -0.1188
-10 0 -10 -0.1147
-5 0 -10 -0.0893
0 0 -10 -0.0617
5 0 -10 -0.0172
10 0 -10 0.0399
15 0 -10 0.1027
20 0 -10 0.1322
25 0 -10 0.1407
30 0 -10 0.1651
35 0 -10 0.1795
40 0 -10 0.1798
45 0 -10 0.1671
50 0 -10 0.1544
55 0 -10 0.1488
60 0 -10 0.1383
70 0 -10 0.1328
80 0 -10 0.1211
90 0 -10 0.1247
-20 2 -10 -0.1246
-15 2 -10 -0.1185
-10 2 -10 -0.1095
-5 2 -10 -0.0885
0 2 -10 -0.0611
5 2 -10 -0.0178
10 2 -10 0.0399
15 2 -10 0.1031
20 2 -10 0.1332
25 2 -10 0.1418
30 2 -10 0.164
35 2 -10 0.1793
40 2 -10 0.181
45 2 -10 0.1664
50 2 -10 0.1549
55 2 -10 0.1433
60 2 -10 0.1356
70 2 -10 0.1301
80 2 -10 0.1195
90 2 -10 0.1262
-20 4 -10 -0.1247
-15 4 -10 -0.1187
-10 4 -10 -0.1084
-5 4 -10 -0.0875
0 4 -10 -0.0603
5 4 -10 -0.0167
10 4 -10 0.0409
15 4 -10 0.1027
20 4 -10 0.1338
25 4 -10 0.1443
30 4 -10 0.1643
35 4 -10 0.1804
40 4 -10 0.1771
45 4 -10 0.1653
50 4 -10 0.1547
55 4 -10 0.1361
60 4 -10 0.132
70 4 -10 0.1263
80 4 -10 0.1195
90 4 -10 0.1256
-20 6 -10 -0.1252
-15 6 -10 -0.1182
-10 6 -10 -0.1077
-5 6 -10 -0.0859
0 6 -10 -0.0595
5 6 -10 -0.0156
10 6 -10 0.0415
15 6 -10 0.1018
20 6 -10 0.1343
25 6 -10 0.1457
30 6 -10 0.1624
35 6 -10 0.1782
40 6 -10 0.171
45 6 -10 0.1629
50 6 -10 0.156
55 6 -10 0.137
60 6 -10 0.1387
70 6 -10 0.127
80 6 -10 0.1225
90 6 -10 0.1256
-20 8 -10 -0.1257
-15 8 -10 -0.1178
-10 8 -10 -0.1063
-5 8 -10 -0.0842
0 8 -10 -0.0577
5 8 -10 -0.0141
10 8 -10 0.0414
15 8 -10 0.1008
20 8 -10 0.131
25 8 -10 0.1442
30 8 -10 0.1615
35 8 -10 0.1749
40 8 -10 0.1702
45 8 -10 0.1597
50 8 -10 0.1538
55 8 -10 0.1405
60 8 -10 0.1323
70 8 -10 0.1281
80 8 -10 0.1204
90 8 -10 0.1297
-20 10 -10 -0.1282
-15 10 -10 -0.1184
-10 10 -10 -0.1069
-5 10 -10 -0.0812
0 10 -10 -0.0561
5 10 -10 -0.0133
10 10 -10 0.0412
15 10 -10 0.0983
20 10 -10 0.1298
25 10 -10 0.1439
30 10 -10 0.1593
35 10 -10 0.1675
40 10 -10 0.1659
45 10 -10 0.1569
50 10 -10 0.1544
55 10 -10 0.1431
60 10 -10 0.131
70 10 -10 0.1268
80 10 -10 0.1177
90 10 -10 0.1257
-20 15 -10 -0.1294
-15 15 -10 -0.1216
-10 15 -10 -0.1079
-5 15 -10 -0.0747
0 15 -10 -0.0527
5 15 -10 -0.0093
10 15 -10 0.0399
15 15 -10 0.0934
20 15 -10 0.1221
25 15 -10 0.1428
30 15 -10 0.153
35 15 -10 0.1529
40 15 -10 0.1518
45 15 -10 0.1481
50 15 -10 0.1469
55 15 -10 0.13
60 15 -10 0.1179
70 15 -10 0.1215
80 15 -10 0.1143
90 15 -10 0.1213
-20 20 -10 -0.1327
-15 20 -10 -0.1243
-10 20 -10 -0.1076
-5 20 -10 -0.0722
0 20 -10 -0.0515
5 20 -10 -0.0087
10 20 -10 0.0367
15 20 -10 0.0887
20 20 -10 0.123
25 20 -10 0.144
30 20 -10 0.139
35 20 -10 0.1451
40 20 -10 0.1427
45 20 -10 0.1478
50 20 -10 0.1405
55 20 -10 0.1215
60 20 -10 0.138
70 20 -10 0.1292
80 20 -10 0.1155
90 20 -10 0.1206
-20 25 -10 -0.1259
-15 25 -10 -0.1253
-10 25 -10 -0.1074
-5 25 -10 -0.0682
0 25 -10 -0.0492
5 25 -10 -0.0106
10 25 -10 0.0328
15 25 -10 0.08
20 25 -10 0.1247
25 25 -10 0.1448
30 25 -10 0.1354
35 25 -10 0.1306
40 25 -10 0.1474
45 25 -10 0.1447
50 25 -10 0.1393
55 25 -10 0.1331
60 25 -10 0.1385
70 25 -10 0.1281
80 25 -10 0.118
90 25 -10 0.1233
-20 30 -10 -0.127
-15 30 -10 -0.1224
-10 30 -10 -0.1026
-5 30 -10 -0.0631
0 30 -10 -0.0466
5 30 -10 -0.0127
10 30 -10 0.0268
15 30 -10 0.0735
