alpha beta ele Cx
20 25 0 0.1208
25 25 0 0.1341
30 25 0 0.1239
35 25 0 0.1116
40 25 0 0.1228
45 25 0 0.1158
50 25 0 0.1122
55 25 0 0.1121
60 25 0 0.109
70 25 0 0.0959
80 25 0 0.0785
90 25 0 0.0786
-20 30 0 -0.098
-15 30 0 -0.1014
-10 30 0 -0.0861
-5 30 0 -0.0522
0 30 0 -0.0338
5 30 0 -0.0021
10 30 0 0.0359
15 30 0 0.078
20 30 0 0.1155
25 30 0 0.1241
30 30 0 0.1034
35 30 0 0.1037
40 30 0 0.1151
45 30 0 0.1193
50 30 0 0.1072
55 30 0 0.1063
60 30 0 0.1037
70 30 0 0.0958
80 30 0 0.082
90 30 0 0.082
-20 -30 10 -0.1023
-15 -30 10 -0.1038
-10 -30 10 -0.0963
-5 -30 10 -0.0664
0 -30 10 -0.0472
5 -30 10 -0.0146
10 -30 10 0.0182
15 -30 10 0.0537
20 -30 10 0.0871
25 -30 10 0.0916
30 -30 10 0.0509
35 -30 10 0.0481
40 -30 10 0.0664
45 -30 10 0.0846
50 -30 10 0.0908
55 -30 10 0.0842
60 -30 10 0.0749
70 -30 10 0.0504
80 -30 10 0.0421
90 -30 10 0.0433
-20 -25 10 -0.1012
-15 -25 10 -0.1067
-10 -25 10 -0.1011
-5 -25 10 -0.0715
0 -25 10 -0.0498
5 -25 10 -0.0134
10 -25 10 0.0242
15 -25 10 0.0602
20 -25 10 0.0924
25 -25 10 0.1016
30 -25 10 0.0714
35 -25 10 0.056
40 -25 10 0.0741
45 -25 10 0.0811
50 -25 10 0.0985
55 -25 10 0.0869
60 -25 10 0.0823
70 -25 10 0.05
80 -25 10 0.038
90 -25 10 0.0404
-20 -20 10 -0.108
-15 -20 10 -0.1057
-10 -20 10 -0.1013
-5 -20 10 -0.0755
0 -20 10 -0.0521
5 -20 10 -0.0124
10 -20 10 0.0281
15 -20 10 0.0689
20 -20 10 0.0907
25 -20 10 0.1008
30 -20 10 0.075
35 -20 10 0.0705
40 -20 10 0.0694
45 -20 10 0.0842
50 -20 10 0.1011
55 -20 10 0.079
60 -20 10 0.0849
70 -20 10 0.0504
80 -20 10 0.0355
90 -20 10 0.0395
-20 -15 10 -0.1047
-15 -15 10 -0.103
-10 -15 10 -0.1016
-5 -15 10 -0.078
0 -15 10 -0.0533
5 -15 10 -0.013
10 -15 10 0.0313
15 -15 10 0.0736
20 -15 10 0.0898
25 -15 10 0.0996
30 -15 10 0.089
35 -15 10 0.0783
40 -15 10 0.0785
45 -15 10 0.0845
50 -15 10 0.0999
55 -15 10 0.0882
60 -15 10 0.0794
70 -15 10 0.0467
80 -15 10 0.0397
90 -15 10 0.0467
-20 -10 10 -0.1035
-15 -10 10 -0.0998
-10 -10 10 -0.1006
-5 -10 10 -0.0845
0 -10 10 -0.0567
5 -10 10 -0.017
10 -10 10 0.0326
15 -10 10 0.0785
20 -10 10 0.0975
25 -10 10 0.1007
30 -10 10 0.0953
35 -10 10 0.0929
40 -10 10 0.0926
45 -10 10 0.0933
50 -10 10 0.1063
55 -10 10 0.1025
60 -10 10 0.0831
70 -10 10 0.0813
80 -10 10 0.042
90 -10 10 0.0495
-20 -8 10 -0.0991
-15 -8 10 -0.0998
-10 -8 10 -0.1013
-5 -8 10 -0.0873
0 -8 10 -0.0578
5 -8 10 -0.0176
10 -8 10 0.0331
15 -8 10 0.0808
20 -8 10 0.0996
25 -8 10 0.1027
30 -8 10 0.1072
35 -8 10 0.0987
40 -8 10 0.0951
45 -8 10 0.0938
50 -8 10 0.1061
55 -8 10 0.101
60 -8 10 0.0841
70 -8 10 0.0811
80 -8 10 0.0417
90 -8 10 0.0492
-20 -6 10 -0.0929
-15 -6 10 -0.0992
-10 -6 10 -0.1017
-5 -6 10 -0.0885
0 -6 10 -0.0586
5 -6 10 -0.0183
10 -6 10 0.0322
15 -6 10 0.0826
20 -6 10 0.0999
25 -6 10 0.1027
30 -6 10 0.1108
35 -6 10 0.1128
40 -6 10 0.1054
45 -6 10 0.0922
50 -6 10 0.1018
55 -6 10 0.0993
60 -6 10 0.0896
70 -6 10 0.0972
80 -6 10 0.0424
90 -6 10 0.0499
-20 -4 10 -0.091
-15 -4 10 -0.0999
-10 -4 10 -0.1028
-5 -4 10 -0.0896
0 -4 10 -0.0595
5 -4 10 -0.0189
10 -4 10 0.0327
15 -4 10 0.0836
20 -4 10 0.0998
25 -4 10 0.0995
30 -4 10 0.1113
35 -4 10 0.1195
40 -4 10 0.1091
45 -4 10 0.0946
50 -4 10 0.0996
55 -4 10 0.098
60 -4 10 0.0908
70 -4 10 0.095
80 -4 10 0.0478
90 -4 10 0.0484
-20 -2 10 -0.0884
-15 -2 10 -0.1006
-10 -2 10 -0.1039
-5 -2 10 -0.0898
0 -2 10 -0.0602
5 -2 10 -0.0205
10 -2 10 0.032
15 -2 10 0.0835
20 -2 10 0.0974
25 -2 10 0.0971
30 -2 10 0.1116
35 -2 10 0.1207
40 -2 10 0.1127
45 -2 10 0.0992
50 -2 10 0.1021
55 -2 10 0.0991
60 -2 10 0.0915
70 -2 10 0.1075
80 -2 10 0.0473
90 -2 10 0.05
-20 0 10 -0.0884
-15 0 10 -0.101
-10 0 10 -0.1092
-5 0 10 -0.0902
0 0 10 -0.0606
5 0 10 -0.02
10 0 10 0.0313
15 0 10 0.0829
20 0 10 0.0971
25 0 10 0.0949
30 0 10 0.1104
35 0 10 0.1201
40 0 10 0.1127
45 0 10 0.0996
50 0 10 0.1071
55 0 10 0.103
60 0 10 0.0914
70 0 10 0.119
80 0 10 0.0519
90 0 10 0.0504
-20 2 10 -0.0907
-15 2 10 -0.1007
-10 2 10 -0.104
-5 2 10 -0.0894
0 2 10 -0.06
5 2 10 -0.0206
10 2 10 0.0313
15 2 10 0.0833
20 2 10 0.0981
25 2 10 0.096
30 2 10 0.1093
35 2 10 0.1199
40 2 10 0.1139
45 2 10 0.0989
50 2 10 0.1071
55 2 10 0.0972
60 2 10 0.0908
70 2 10 0.1101
80 2 10 0.0484
90 2 10 0.0495
-20 4 10 -0.0908
-15 4 10 -0.1009
-10 4 10 -0.1029
-5 4 10 -0.0884
0 4 10 -0.0592
5 4 10 -0.0195
10 4 10 0.0323
15 4 10 0.0829
20 4 10 0.0987
25 4 10 0.0985
30 4 10 0.1096
35 4 10 0.121
40 4 10 0.11
45 4 10 0.0978
50 4 10 0.1064
55 4 10 0.0897
60 4 10 0.0893
70 4 10 0.1001
80 4 10 0.0465
90 4 10 0.0463
-20 6 10 -0.0913
-15 6 10 -0.1004
-10 6 10 -0.1022
-5 6 10 -0.0868
0 6 10 -0.0584
5 6 10 -0.0184
10 6 10 0.0329
15 6 10 0.082
20 6 10 0.0992
25 6 10 0.0999
30 6 10 0.1077
35 6 10 0.1188
40 6 10 0.1039
45 6 10 0.0954
50 6 10 0.107
55 6 10 0.0914
60 6 10 0.0895
70 6 10 0.0967
80 6 10 0.0489
90 6 10 0.0457
-20 8 10 -0.0918
-15 8 10 -0.1
-10 8 10 -0.1008
-5 8 10 -0.0851
0 8 10 -0.0566
5 8 10 -0.0169
10 8 10 0.0328
15 8 10 0.081
20 8 10 0.0959
25 8 10 0.0984
30 8 10 0.1068
35 8 10 0.1155
40 8 10 0.1031
45 8 10 0.0922
50 8 10 0.1036
55 8 10 0.0969
60 8 10 0.0889
70 8 10 0.0958
80 8 10 0.0472
90 8 10 0.051
-20 10 10 -0.0943
-15 10 10 -0.1006
-10 10 10 -0.1014
-5 10 10 -0.0821
0 10 10 -0.055
5 10 10 -0.0161
10 10 10 0.0326
15 10 10 0.0785
20 10 10 0.0947
25 10 10 0.0981
30 10 10 0.1046
35 10 10 0.1081
40 10 10 0.0988
45 10 10 0.0894
50 10 10 0.1032
55 10 10 0.1015
60 10 10 0.0868
70 10 10 0.0931
80 10 10 0.045
90 10 10 0.0482
-20 15 10 -0.0955
-15 15 10 -0.1038
-10 15 10 -0.1024
-5 15 10 -0.0756
0 15 10 -0.0516
5 15 10 -0.0121
10 15 10 0.0313
15 15 10 0.0736
20 15 10 0.087
25 15 10 0.097
30 15 10 0.0983
35 15 10 0.0935
40 15 10 0.0847
45 15 10 0.0806
50 15 10 0.0968
55 15 10 0.0872
60 15 10 0.0831
70 15 10 0.0585
80 15 10 0.0427
90 15 10 0.0454
-20 20 10 -0.0988
-15 20 10 -0.1065
-10 20 10 -0.1021
-5 20 10 -0.0731
0 20 10 -0.0504
5 20 10 -0.0115
10 20 10 0.0281
15 20 10 0.0689
20 20 10 0.0879
25 20 10 0.0982
30 20 10 0.0843
35 20 10 0.0857
40 20 10 0.0756
45 20 10 0.0803
50 20 10 0.098
55 20 10 0.078
60 20 10 0.0886
70 20 10 0.0622
80 20 10 0.0385
90 20 10 0.0382
-20 25 10 -0.092
-15 25 10 -0.1075
-10 25 10 -0.1019
-5 25 10 -0.0691
0 25 10 -0.0481
5 25 10 -0.0134
10 25 10 0.0242
15 25 10 0.0602
20 25 10 0.0896
25 25 10 0.099
30 25 10 0.0807
35 25 10 0.0712
40 25 10 0.0803
45 25 10 0.0772
50 25 10 0.0954
55 25 10 0.0859
60 25 10 0.086
70 25 10 0.0618
80 25 10 0.041
90 25 10 0.0391
-20 30 10 -0.0931
-15 30 10 -0.1046
-10 30 10 -0.0971
-5 30 10 -0.064
0 30 10 -0.0455
5 30 10 -0.0155
10 30 10 0.0182
15 30 10 0.0537
20 30 10 0.0843
25 30 10 0.089
30 30 10 0.0602
35 30 10 0.0633
40 30 10 0.0726
45 30 10 0.0807
50 30 10 0.0877
55 30 10 0.0832
60 30 10 0.0786
70 30 10 0.0622
80 30 10 0.0451
90 30 10 0.042
-20 -30 25 -0.1068
-15 -30 25 -0.1122
-10 -30 25 -0.1102
-5 -30 25 -0.0911
0 -30 25 -0.0811
5 -30 25 -0.0575
10 -30 25 -0.0183
15 -30 25 0.0195
20 -30 25 0.0494
25 -30 25 0.0699
30 -30 25 0.0207
35 -30 25 0.0211
40 -30 25 0.0386
45 -30 25 0.046
50 -30 25 0.0394
55 -30 25 0.0336
60 -30 25 0.0158
70 -30 25 -0.0186
80 -30 25 -0.0242
90 -30 25 -0.0208
-20 -25 25 -0.1102
-15 -25 25 -0.118
-10 -25 25 -0.1212
-5 -25 25 -0.1027
0 -25 25 -0.0889
5 -25 25 -0.0588
10 -25 25 -0.0188
15 -25 25 0.0186
20 -25 25 0.0626
25 -25 25 0.0695
30 -25 25 0.0324
35 -25 25 0.0282
40 -25 25 0.0462
45 -25 25 0.0438
50 -25 25 0.0479
55 -25 25 0.0411
60 -25 25 0.0284
70 -25 25 -0.0121
80 -25 25 -0.0267
90 -25 25 -0.0271
-20 -20 25 -0.116
-15 -20 25 -0.1227
-10 -20 25 -0.1319
-5 -20 25 -0.1093
0 -20 25 -0.0955
5 -20 25 -0.0631
10 -20 25 -0.0211
15 -20 25 0.0204
20 -20 25 0.0562
25 -20 25 0.0627
30 -20 25 0.0323
35 -20 25 0.0309
40 -20 25 0.0331
45 -20 25 0.0341
50 -20 25 0.0513
55 -20 25 0.038
60 -20 25 0.0361
70 -20 25 -0.0057
80 -20 25 -0.0277
90 -20 25 -0.0315
-20 -15 25 -0.1176
-15 -15 25 -0.1292
-10 -15 25 -0.1359
-5 -15 25 -0.1144
0 -15 25 -0.0996
5 -15 25 -0.0676
10 -15 25 -0.0241
15 -15 25 0.0186
20 -15 25 0.0477
25 -15 25 0.0557
30 -15 25 0.0293
35 -15 25 0.0263
40 -15 25 0.0339
45 -15 25 0.0311
50 -15 25 0.0447
55 -15 25 0.0471
60 -15 25 0.0335
70 -15 25 -0.007
80 -15 25 -0.02
90 -15 25 -0.0229
-20 -10 25 -0.1291
-15 -10 25 -0.1365
-10 -10 25 -0.1403
-5 -10 25 -0.1244
0 -10 25 -0.1015
5 -10 25 -0.0671
10 -10 25 -0.0226
15 -10 25 0.0194
20 -10 25 0.0323
25 -10 25 0.0366
30 -10 25 0.0304
35 -10 25 0.0307
40 -10 25 0.0365
45 -10 25 0.0348
50 -10 25 0.0538
55 -10 25 0.0543
60 -10 25 0.0487
70 -10 25 0.041
80 -10 25 -0.0215
90 -10 25 -0.0156
-20 -8 25 -0.1289
-15 -8 25 -0.1397
-10 -8 25 -0.1427
-5 -8 25 -0.1304
0 -8 25 -0.1037
5 -8 25 -0.0694
10 -8 25 -0.0254
15 -8 25 0.0181
20 -8 25 0.0279
25 -8 25 0.0316
30 -8 25 0.0404
35 -8 25 0.0334
40 -8 25 0.0407
45 -8 25 0.0373
50 -8 25 0.0528
55 -8 25 0.0508
60 -8 25 0.0443
70 -8 25 0.0451
80 -8 25 -0.0224
90 -8 25 -0.0165
-20 -6 25 -0.1244
-15 -6 25 -0.1406
-10 -6 25 -0.1454
-5 -6 25 -0.1316
0 -6 25 -0.1056
5 -6 25 -0.0715
10 -6 25 -0.0291
15 -6 25 0.0154
20 -6 25 0.0289
25 -6 25 0.0263
30 -6 25 0.0419
35 -6 25 0.0437
40 -6 25 0.0394
45 -6 25 0.0362
50 -6 25 0.0483
55 -6 25 0.0471
60 -6 25 0.0442
70 -6 25 0.0655
80 -6 25 -0.0223
90 -6 25 -0.0141
-20 -4 25 -0.1158
-15 -4 25 -0.1416
-10 -4 25 -0.148
-5 -4 25 -0.132
0 -4 25 -0.1065
5 -4 25 -0.0739
10 -4 25 -0.0333
15 -4 25 0.0162
20 -4 25 0.0263
25 -4 25 0.0207
30 -4 25 0.0404
35 -4 25 0.0466
40 -4 25 0.0411
45 -4 25 0.0335
50 -4 25 0.0441
55 -4 25 0.0445
60 -4 25 0.0432
70 -4 25 0.0604
80 -4 25 -0.018
90 -4 25 -0.0184
-20 -2 25 -0.1137
-15 -2 25 -0.1442
-10 -2 25 -0.152
-5 -2 25 -0.1333
0 -2 25 -0.1077
5 -2 25 -0.0775
10 -2 25 -0.037
15 -2 25 0.0198
20 -2 25 0.0204
25 -2 25 0.016
30 -2 25 0.0385
35 -2 25 0.0458
40 -2 25 0.0407
45 -2 25 0.0338
50 -2 25 0.0444
55 -2 25 0.045
60 -2 25 0.0451
70 -2 25 0.0655
80 -2 25 -0.0202
90 -2 25 -0.0173
-20 0 25 -0.1141
-15 0 25 -0.145
-10 0 25 -0.1633
-5 0 25 -0.1337
0 0 25 -0.1075
5 0 25 -0.0785
10 0 25 -0.0336
15 0 25 0.0212
20 0 25 0.0187
25 0 25 0.0198
30 0 25 0.0381
35 0 25 0.0479
40 0 25 0.0418
45 0 25 0.0363
50 0 25 0.0472
55 0 25 0.0484
60 0 25 0.046
70 0 25 0.0641
80 0 25 -0.0173
90 0 25 -0.0173
-20 2 25 -0.1164
-15 2 25 -0.1448
-10 2 25 -0.1518
-5 2 25 -0.134
0 2 25 -0.1072
5 2 25 -0.0787
10 2 25 -0.0345
15 2 25 0.0157
20 2 25 0.0173
25 2 25 0.0165
30 2 25 0.0374
35 2 25 0.0495
40 2 25 0.0431
45 2 25 0.0325
50 2 25 0.0488
55 2 25 0.0442
60 2 25 0.0451
70 2 25 0.0677
80 2 25 -0.0046
90 2 25 -0.0168
-20 4 25 -0.1192
-15 4 25 -0.1428
-10 4 25 -0.1482
-5 4 25 -0.1322
0 4 25 -0.1061
5 4 25 -0.0744
10 4 25 -0.0326
15 4 25 0.0131
20 4 25 0.0255
25 4 25 0.0218
30 4 25 0.0379
35 4 25 0.0495
40 4 25 0.0426
45 4 25 0.034
50 4 25 0.0497
55 4 25 0.0383
60 4 25 0.0433
70 4 25 0.0701
80 4 25 0.0281
90 4 25 -0.0185
-20 6 25 -0.12
-15 6 25 -0.1408
-10 6 25 -0.1457
-5 6 25 -0.1309
0 6 25 -0.1045
5 6 25 -0.0704
10 6 25 -0.0283
15 6 25 0.0136
20 6 25 0.0183
25 6 25 0.0244
30 6 25 0.0389
35 6 25 0.0487
40 6 25 0.0392
45 6 25 0.0342
50 6 25 0.0507
55 6 25 0.041
60 6 25 0.0435
70 6 25 0.0702
80 6 25 0.0311
90 6 25 -0.0183
-20 8 25 -0.124
-15 8 25 -0.144
-10 8 25 -0.1438
-5 8 25 -0.128
0 8 25 -0.1024
5 8 25 -0.0688
10 8 25 -0.0247
15 8 25 0.0158
20 8 25 0.0165
25 8 25 0.0228
30 8 25 0.0417
35 8 25 0.0467
40 8 25 0.0405
45 8 25 0.0356
50 8 25 0.0487
55 8 25 0.0471
60 8 25 0.0438
70 8 25 0.0636
80 8 25 0.0053
90 8 25 -0.013
-20 10 25 -0.1243
-15 10 25 -0.1397
-10 10 25 -0.1419
-5 10 25 -0.1243
0 10 25 -0.1003
5 10 25 -0.0669
10 10 25 -0.0236
15 10 25 0.0179
20 10 25 0.0119
25 10 25 0.0214
30 10 25 0.0446
35 10 25 0.0434
40 10 25 0.0381
45 10 25 0.0338
50 10 25 0.0495
55 10 25 0.0522
60 10 25 0.0416
70 10 25 0.0546
80 10 25 -0.021
90 10 25 -0.0157
-20 15 25 -0.1128
-15 15 25 -0.1324
-10 15 25 -0.1375
-5 15 25 -0.1143
0 15 25 -0.0984
5 15 25 -0.0674
10 15 25 -0.0251
15 15 25 0.0171
20 15 25 0.0273
25 15 25 0.0405
30 15 25 0.0435
35 15 25 0.039
40 15 25 0.0355
45 15 25 0.0301
50 15 25 0.0478
55 15 25 0.0432
60 15 25 0.0363
70 15 25 0.0033
80 15 25 -0.0288
90 15 25 -0.0237
-20 20 25 -0.1112
-15 20 25 -0.1259
-10 20 25 -0.1335
-5 20 25 -0.1092
0 20 25 -0.0943
5 20 25 -0.0624
10 20 25 -0.0221
15 20 25 0.0189
20 20 25 0.0358
25 20 25 0.0475
30 20 25 0.0465
35 20 25 0.0436
40 20 25 0.0347
45 20 25 0.0331
50 20 25 0.0525
55 20 25 0.0272
60 20 25 0.0397
70 20 25 0.002
80 20 25 -0.0312
90 20 25 -0.0323
-20 25 25 -0.1054
-15 25 25 -0.1212
-10 25 25 -0.1228
-5 25 25 -0.1026
0 25 25 -0.0877
5 25 25 -0.0586
10 25 25 -0.0198
15 25 25 0.0171
20 25 25 0.0422
25 25 25 0.0543
30 25 25 0.0466
35 25 25 0.0409
40 25 25 0.0478
45 25 25 0.0428
50 25 25 0.0476
55 25 25 0.0347
60 25 25 0.034
70 25 25 -0.0005
80 25 25 -0.024
90 25 25 -0.0246
-20 30 25 -0.102
-15 30 25 -0.1154
-10 30 25 -0.1118
-5 30 25 -0.091
0 30 25 -0.0799
5 30 25 -0.0573
10 30 25 -0.0193
15 30 25 0.018
20 30 25 0.029
25 30 25 0.0547
30 30 25 0.0349
35 30 25 0.0338
40 30 25 0.0402
45 30 25 0.045
50 30 25 0.0376
55 30 25 0.0315
60 30 25 0.0246
70 30 25 0.0058
80 30 25 -0.0152
90 30 25 -0.015
