alpha beta ele Cm
70 25 0 -0.3593
80 25 0 -0.5145
90 25 0 -0.6351
-20 30 0 0.11
-15 30 0 0.046
-10 30 0 0.032
-5 30 0 -0.026
0 30 0 -0.0517
5 30 0 -0.0651
10 30 0 -0.0658
15 30 0 -0.0613
20 30 0 -0.066
25 30 0 -0.0633
30 30 0 -0.0364
35 30 0 -0.0279
40 30 0 0.0022
45 30 0 -0.0294
50 30 0 -0.0624
55 30 0 -0.1047
60 30 0 -0.1841
70 30 0 -0.3444
80 30 0 -0.4788
90 30 0 -0.6381
-20 -30 10 0.02
-15 -30 10 -0.0153
-10 -30 10 -0.0549
-5 -30 10 -0.112
0 -30 10 -0.117
5 -30 10 -0.105
10 -30 10 -0.097
15 -30 10 -0.097
20 -30 10 -0.062
25 -30 10 -0.075
30 -30 10 -0.088
35 -30 10 -0.105
40 -30 10 -0.0438
45 -30 10 -0.1448
50 -30 10 -0.153
55 -30 10 -0.076
60 -30 10 -0.171
70 -30 10 -0.4001
80 -30 10 -0.5082
90 -30 10 -0.6368
-20 -25 10 -0.0036
-15 -25 10 -0.0385
-10 -25 10 -0.0792
-5 -25 10 -0.124
0 -25 10 -0.127
5 -25 10 -0.133
10 -25 10 -0.112
15 -25 10 -0.118
20 -25 10 -0.083
25 -25 10 -0.103
30 -25 10 -0.168
35 -25 10 -0.1611
40 -25 10 -0.1079
45 -25 10 -0.0931
50 -25 10 -0.133
55 -25 10 -0.063
60 -25 10 -0.12
70 -25 10 -0.4044
80 -25 10 -0.5338
90 -25 10 -0.6326
-20 -20 10 -0.0107
-15 -20 10 -0.0525
-10 -20 10 -0.0932
-5 -20 10 -0.152
0 -20 10 -0.152
5 -20 10 -0.144
10 -20 10 -0.122
15 -20 10 -0.133
20 -20 10 -0.097
25 -20 10 -0.113
30 -20 10 -0.165
35 -20 10 -0.1862
40 -20 10 -0.1281
45 -20 10 -0.1319
50 -20 10 -0.128
55 -20 10 -0.152
60 -20 10 -0.135
70 -20 10 -0.3789
80 -20 10 -0.5333
90 -20 10 -0.6174
-20 -15 10 -0.0334
-15 -15 10 -0.0743
-10 -15 10 -0.1226
-5 -15 10 -0.168
0 -15 10 -0.159
5 -15 10 -0.155
10 -15 10 -0.135
15 -15 10 -0.151
20 -15 10 -0.106
25 -15 10 -0.108
30 -15 10 -0.172
35 -15 10 -0.2095
40 -15 10 -0.1485
45 -15 10 -0.1793
50 -15 10 -0.147
55 -15 10 -0.057
60 -15 10 -0.14
70 -15 10 -0.405
80 -15 10 -0.5253
90 -15 10 -0.6217
-20 -10 10 -0.0778
-15 -10 10 -0.1233
-10 -10 10 -0.1521
-5 -10 10 -0.183
0 -10 10 -0.16
5 -10 10 -0.155
10 -10 10 -0.142
15 -10 10 -0.152
20 -10 10 -0.134
25 -10 10 -0.137
30 -10 10 -0.171
35 -10 10 -0.1951
40 -10 10 -0.1405
45 -10 10 -0.1518
50 -10 10 -0.1077
55 -10 10 -0.0075
60 -10 10 -0.1588
70 -10 10 -0.3419
80 -10 10 -0.4877
90 -10 10 -0.5909
-20 -8 10 -0.0944
-15 -8 10 -0.1376
-10 -8 10 -0.1609
-5 -8 10 -0.188
0 -8 10 -0.16
5 -8 10 -0.155
10 -8 10 -0.142
15 -8 10 -0.15
20 -8 10 -0.142
25 -8 10 -0.144
30 -8 10 -0.155
35 -8 10 -0.176
40 -8 10 -0.1272
45 -8 10 -0.1264
50 -8 10 -0.103
55 -8 10 -0.046
60 -8 10 -0.1634
70 -8 10 -0.3364
80 -8 10 -0.4848
90 -8 10 -0.6214
-20 -6 10 -0.0926
-15 -6 10 -0.1466
-10 -6 10 -0.1688
-5 -6 10 -0.191
0 -6 10 -0.159
5 -6 10 -0.155
10 -6 10 -0.151
15 -6 10 -0.155
20 -6 10 -0.138
25 -6 10 -0.153
30 -6 10 -0.15
35 -6 10 -0.1514
40 -6 10 -0.1301
45 -6 10 -0.1053
50 -6 10 -0.1111
55 -6 10 -0.0865
60 -6 10 -0.1455
70 -6 10 -0.261
80 -6 10 -0.4902
90 -6 10 -0.5906
-20 -4 10 -0.0855
-15 -4 10 -0.1551
-10 -4 10 -0.1774
-5 -4 10 -0.192
0 -4 10 -0.157
5 -4 10 -0.155
10 -4 10 -0.153
15 -4 10 -0.155
20 -4 10 -0.134
25 -4 10 -0.154
30 -4 10 -0.147
35 -4 10 -0.1444
40 -4 10 -0.1367
45 -4 10 -0.1575
50 -4 10 -0.1154
55 -4 10 -0.0614
60 -4 10 -0.1444
70 -4 10 -0.2714
80 -4 10 -0.497
90 -4 10 -0.6146
-20 -2 10 -0.0815
-15 -2 10 -0.1663
-10 -2 10 -0.188
-5 -2 10 -0.189
0 -2 10 -0.162
5 -2 10 -0.158
10 -2 10 -0.157
15 -2 10 -0.152
20 -2 10 -0.13
25 -2 10 -0.154
30 -2 10 -0.144
35 -2 10 -0.1427
40 -2 10 -0.1555
45 -2 10 -0.1807
50 -2 10 -0.1161
55 -2 10 -0.0976
60 -2 10 -0.1512
70 -2 10 -0.2201
80 -2 10 -0.4677
90 -2 10 -0.6099
-20 0 10 -0.0835
-15 0 10 -0.1719
-10 0 10 -0.2153
-5 0 10 -0.1888
0 0 10 -0.161
5 0 10 -0.1606
10 0 10 -0.1548
15 0 10 -0.1452
20 0 10 -0.1264
25 0 10 -0.153
30 0 10 -0.144
35 0 10 -0.1411
40 0 10 -0.145
45 0 10 -0.1411
50 0 10 -0.1008
55 0 10 -0.0679
60 0 10 -0.1556
70 0 10 -0.1983
80 0 10 -0.4721
90 0 10 -0.6083
-20 2 10 -0.0955
-15 2 10 -0.1683
-10 2 10 -0.1839
-5 2 10 -0.19
0 2 10 -0.162
5 2 10 -0.161
10 2 10 -0.155
15 2 10 -0.148
20 2 10 -0.126
25 2 10 -0.155
30 2 10 -0.145
35 2 10 -0.145
40 2 10 -0.1543
45 2 10 -0.1635
50 2 10 -0.106
55 2 10 -0.0922
60 2 10 -0.1653
70 2 10 -0.2363
80 2 10 -0.4929
90 2 10 -0.608
-20 4 10 -0.093
-15 4 10 -0.1568
-10 4 10 -0.1738
-5 4 10 -0.193
0 4 10 -0.163
5 4 10 -0.162
10 4 10 -0.152
15 4 10 -0.155
20 4 10 -0.126
25 4 10 -0.15
30 4 10 -0.146
35 4 10 -0.1513
40 4 10 -0.1595
45 4 10 -0.1655
50 4 10 -0.1254
55 4 10 -0.1253
60 4 10 -0.1719
70 4 10 -0.2655
80 4 10 -0.4669
90 4 10 -0.5958
-20 6 10 -0.0943
-15 6 10 -0.1437
-10 6 10 -0.1648
-5 6 10 -0.193
0 6 10 -0.167
5 6 10 -0.157
10 6 10 -0.153
15 6 10 -0.155
20 6 10 -0.151
25 6 10 -0.15
30 6 10 -0.153
35 6 10 -0.1565
40 6 10 -0.1527
45 6 10 -0.1635
50 6 10 -0.1273
55 6 10 -0.1221
60 6 10 -0.1866
70 6 10 -0.2695
80 6 10 -0.4776
90 6 10 -0.5979
-20 8 10 -0.0881
-15 8 10 -0.1371
-10 8 10 -0.1594
-5 8 10 -0.191
0 8 10 -0.162
5 8 10 -0.157
10 8 10 -0.145
15 8 10 -0.157
20 8 10 -0.161
25 8 10 -0.16
30 8 10 -0.157
35 8 10 -0.1627
40 8 10 -0.1644
45 8 10 -0.1815
50 8 10 -0.1228
55 8 10 -0.0972
60 8 10 -0.1859
70 8 10 -0.2844
80 8 10 -0.4787
90 8 10 -0.6109
-20 10 10 -0.0743
-15 10 10 -0.1295
-10 10 10 -0.1525
-5 10 10 -0.183
0 10 10 -0.162
5 10 10 -0.156
10 10 10 -0.146
15 10 10 -0.152
20 10 10 -0.166
25 10 10 -0.164
30 10 10 -0.156
35 10 10 -0.1705
40 10 10 -0.1682
45 10 10 -0.1872
50 10 10 -0.1052
55 10 10 -0.0797
60 10 10 -0.1985
70 10 10 -0.2833
80 10 10 -0.4779
90 10 10 -0.5865
-20 15 10 -0.0265
-15 15 10 -0.0798
-10 15 10 -0.1225
-5 15 10 -0.168
0 15 10 -0.162
5 15 10 -0.156
10 15 10 -0.14
15 15 10 -0.151
20 15 10 -0.137
25 15 10 -0.133
30 15 10 -0.159
35 15 10 -0.1836
40 15 10 -0.1791
45 15 10 -0.2206
50 15 10 -0.1442
55 15 10 -0.1301
60 15 10 -0.1808
70 15 10 -0.3734
80 15 10 -0.5155
90 15 10 -0.6173
-20 20 10 -0.004
-15 20 10 -0.0589
-10 20 10 -0.0931
-5 20 10 -0.152
0 20 10 -0.153
5 20 10 -0.145
10 20 10 -0.126
15 20 10 -0.134
20 20 10 -0.126
25 20 10 -0.138
30 20 10 -0.152
35 20 10 -0.1611
40 20 10 -0.1553
45 20 10 -0.1644
50 20 10 -0.1253
55 20 10 -0.2255
60 20 10 -0.1758
70 20 10 -0.3473
80 20 10 -0.5235
90 20 10 -0.613
-20 25 10 0.0034
-15 25 10 -0.0445
-10 25 10 -0.1276
-5 25 10 -0.125
0 25 10 -0.126
5 25 10 -0.133
10 25 10 -0.117
15 25 10 -0.118
20 25 10 -0.115
25 25 10 -0.129
30 25 10 -0.155
35 25 10 -0.1363
40 25 10 -0.1362
45 25 10 -0.132
50 25 10 -0.1286
55 25 10 -0.1358
60 25 10 -0.1621
70 25 10 -0.3728
80 25 10 -0.524
90 25 10 -0.6282
-20 30 10 0.0268
-15 30 10 -0.0241
-10 30 10 -0.0548
-5 30 10 -0.112
0 30 10 -0.117
5 30 10 -0.118
10 30 10 -0.104
15 30 10 -0.096
20 30 10 -0.094
25 30 10 -0.099
30 30 10 -0.075
35 30 10 -0.0815
40 30 10 -0.0744
45 30 10 -0.1935
50 30 10 -0.1498
55 30 10 -0.1481
60 30 10 -0.2116
70 30 10 -0.3685
80 30 10 -0.4984
90 30 10 -0.6324
-20 -30 25 -0.0818
-15 -30 25 -0.116
-10 -30 25 -0.1527
-5 -30 25 -0.177
0 -30 25 -0.174
5 -30 25 -0.164
10 -30 25 -0.128
15 -30 25 -0.116
20 -30 25 -0.068
25 -30 25 -0.075
30 -30 25 -0.097
35 -30 25 -0.104
40 -30 25 -0.025
45 -30 25 -0.057
50 -30 25 -0.108
55 -30 25 -0.125
60 -30 25 -0.143
70 -30 25 -0.422
80 -30 25 -0.45
90 -30 25 -0.56
-20 -25 25 -0.1023
-15 -25 25 -0.1432
-10 -25 25 -0.1845
-5 -25 25 -0.2
0 -25 25 -0.197
5 -25 25 -0.192
10 -25 25 -0.162
15 -25 25 -0.148
20 -25 25 -0.093
25 -25 25 -0.109
30 -25 25 -0.186
35 -25 25 -0.16
40 -25 25 -0.084
45 -25 25 -0.068
50 -25 25 -0.093
55 -25 25 -0.115
60 -25 25 -0.082
70 -25 25 -0.438
80 -25 25 -0.5
90 -25 25 -0.592
-20 -20 25 -0.106
-15 -20 25 -0.1646
-10 -20 25 -0.2168
-5 -20 25 -0.237
0 -20 25 -0.234
5 -20 25 -0.219
10 -20 25 -0.188
15 -20 25 -0.181
20 -20 25 -0.124
25 -20 25 -0.132
30 -20 25 -0.186
35 -20 25 -0.185
40 -20 25 -0.112
45 -20 25 -0.088
50 -20 25 -0.093
55 -20 25 -0.207
60 -20 25 -0.085
70 -20 25 -0.425
80 -20 25 -0.524
90 -20 25 -0.513
-20 -15 25 -0.1334
-15 -15 25 -0.202
-10 -15 25 -0.248
-5 -15 25 -0.252
0 -15 25 -0.247
5 -15 25 -0.243
10 -15 25 -0.216
15 -15 25 -0.215
20 -15 25 -0.154
25 -15 25 -0.133
30 -15 25 -0.198
35 -15 25 -0.208
40 -15 25 -0.13
45 -15 25 -0.126
50 -15 25 -0.087
55 -15 25 -0.103
60 -15 25 -0.091
70 -15 25 -0.433
80 -15 25 -0.514
90 -15 25 -0.593
-20 -10 25 -0.1866
-15 -10 25 -0.2635
-10 -10 25 -0.274
-5 -10 25 -0.263
0 -10 25 -0.2487
5 -10 25 -0.2429
10 -10 25 -0.2297
15 -10 25 -0.2186
20 -10 25 -0.2203
25 -10 25 -0.1882
30 -10 25 -0.1989
35 -10 25 -0.1936
40 -10 25 -0.1248
45 -10 25 -0.1157
50 -10 25 -0.0745
55 -10 25 -0.0588
60 -10 25 -0.1251
70 -10 25 -0.339
80 -10 25 -0.4633
90 -10 25 -0.5674
-20 -8 25 -0.2149
-15 -8 25 -0.2792
-10 -8 25 -0.2816
-5 -8 25 -0.2698
0 -8 25 -0.2486
5 -8 25 -0.2425
10 -8 25 -0.2289
15 -8 25 -0.2174
20 -8 25 -0.2311
25 -8 25 -0.2123
30 -8 25 -0.1828
35 -8 25 -0.1746
40 -8 25 -0.1157
45 -8 25 -0.1018
50 -8 25 -0.0894
55 -8 25 -0.0831
60 -8 25 -0.1492
70 -8 25 -0.3231
80 -8 25 -0.4648
90 -8 25 -0.603
-20 -6 25 -0.2128
-15 -6 25 -0.2868
-10 -6 25 -0.2874
-5 -6 25 -0.2734
0 -6 25 -0.2493
5 -6 25 -0.2441
10 -6 25 -0.2391
15 -6 25 -0.2272
20 -6 25 -0.2272
25 -6 25 -0.2264
30 -6 25 -0.1798
35 -6 25 -0.1503
40 -6 25 -0.1182
45 -6 25 -0.1055
50 -6 25 -0.1198
55 -6 25 -0.1095
60 -6 25 -0.1507
70 -6 25 -0.2373
80 -6 25 -0.4746
90 -6 25 -0.5774
-20 -4 25 -0.2055
-15 -4 25 -0.2906
-10 -4 25 -0.2952
-5 -4 25 -0.2737
0 -4 25 -0.2489
5 -4 25 -0.2476
10 -4 25 -0.2519
15 -4 25 -0.2283
20 -4 25 -0.2205
25 -4 25 -0.2304
30 -4 25 -0.1762
35 -4 25 -0.1433
40 -4 25 -0.1245
45 -4 25 -0.1203
50 -4 25 -0.1388
55 -4 25 -0.0791
60 -4 25 -0.157
70 -4 25 -0.2547
80 -4 25 -0.4862
90 -4 25 -0.6021
-20 -2 25 -0.203
-15 -2 25 -0.3059
-10 -2 25 -0.3025
-5 -2 25 -0.2738
0 -2 25 -0.2539
5 -2 25 -0.254
10 -2 25 -0.2626
15 -2 25 -0.2258
20 -2 25 -0.2205
25 -2 25 -0.2337
30 -2 25 -0.1751
35 -2 25 -0.1416
40 -2 25 -0.14
45 -2 25 -0.123
50 -2 25 -0.1366
55 -2 25 -0.1189
60 -2 25 -0.1589
70 -2 25 -0.2277
80 -2 25 -0.4621
90 -2 25 -0.5938
-20 0 25 -0.2093
-15 0 25 -0.3079
-10 0 25 -0.3391
-5 0 25 -0.2741
0 0 25 -0.2527
5 0 25 -0.2562
10 0 25 -0.2554
15 0 25 -0.2157
20 0 25 -0.2165
25 0 25 -0.2325
30 0 25 -0.174
35 0 25 -0.1401
40 0 25 -0.132
45 0 25 -0.1113
50 0 25 -0.1234
55 0 25 -0.0929
60 0 25 -0.1584
70 0 25 -0.2303
80 0 25 -0.4716
90 0 25 -0.5886
-20 2 25 -0.2204
-15 2 25 -0.3052
-10 2 25 -0.2988
-5 2 25 -0.2761
0 2 25 -0.2524
5 2 25 -0.2589
10 2 25 -0.2599
15 2 25 -0.2184
20 2 25 -0.2182
25 2 25 -0.2322
30 2 25 -0.1732
35 2 25 -0.144
40 2 25 -0.1411
45 2 25 -0.1232
50 2 25 -0.1254
55 2 25 -0.1186
60 2 25 -0.1689
70 2 25 -0.3505
80 2 25 -0.4474
90 2 25 -0.5839
-20 4 25 -0.2176
-15 4 25 -0.2933
-10 4 25 -0.2907
-5 4 25 -0.2782
0 4 25 -0.2524
5 4 25 -0.2581
10 4 25 -0.253
15 4 25 -0.2297
20 4 25 -0.2138
25 4 25 -0.2269
30 4 25 -0.1782
35 4 25 -0.1502
40 4 25 -0.1463
45 4 25 -0.1304
50 4 25 -0.1416
55 4 25 -0.1533
60 4 25 -0.1773
70 4 25 -0.1931
80 4 25 -0.3916
90 4 25 -0.5673
-20 6 25 -0.2185
-15 6 25 -0.2816
-10 6 25 -0.2825
-5 6 25 -0.2785
0 6 25 -0.2532
5 6 25 -0.2482
10 6 25 -0.2501
15 6 25 -0.2305
20 6 25 -0.2589
25 6 25 -0.2243
30 6 25 -0.1855
35 6 25 -0.1555
40 6 25 -0.1532
45 6 25 -0.135
50 6 25 -0.1463
55 6 25 -0.1523
60 6 25 -0.1947
70 6 25 -0.188
80 6 25 -0.4082
90 6 25 -0.57
-20 8 25 -0.2077
-15 8 25 -0.275
-10 8 25 -0.2794
-5 8 25 -0.2756
0 8 25 -0.2517
5 8 25 -0.2428
10 8 25 -0.2367
15 8 25 -0.231
20 8 25 -0.2705
25 8 25 -0.2382
30 8 25 -0.1875
35 8 25 -0.1616
40 8 25 -0.1523
45 8 25 -0.1445
50 8 25 -0.1508
55 8 25 -0.1304
60 8 25 -0.1982
70 8 25 -0.2371
80 8 25 -0.4299
90 8 25 -0.5885
-20 10 25 -0.1946
-15 10 25 -0.2717
-10 10 25 -0.2734
-5 10 25 -0.2632
0 10 25 -0.2491
5 10 25 -0.2427
10 10 25 -0.233
15 10 25 -0.219
20 10 25 -0.2751
25 10 25 -0.2465
30 10 25 -0.1852
35 10 25 -0.1694
40 10 25 -0.1562
45 10 25 -0.1488
50 10 25 -0.1421
55 10 25 -0.1158
60 10 25 -0.215
70 10 25 -0.2701
80 10 25 -0.4593
90 10 25 -0.5696
-20 15 25 -0.133
-15 15 25 -0.208
-10 15 25 -0.246
-5 15 25 -0.2527
0 15 25 -0.2491
5 15 25 -0.2434
10 15 25 -0.222
15 15 25 -0.2175
20 15 25 -0.2111
25 15 25 -0.1828
30 15 25 -0.1824
35 15 25 -0.1825
40 15 25 -0.1636
45 15 25 -0.1618
50 15 25 -0.155
55 15 25 -0.158
60 15 25 -0.1808
70 15 25 -0.3635
80 15 25 -0.5113
90 15 25 -0.5961
-20 20 25 -0.106
-15 20 25 -0.173
-10 20 25 -0.215
-5 20 25 -0.237
0 20 25 -0.2359
5 20 25 -0.2199
10 20 25 -0.1938
15 20 25 -0.1838
20 20 25 -0.1811
25 20 25 -0.1848
30 20 25 -0.1732
35 20 25 -0.1603
40 20 25 -0.1432
45 20 25 -0.1188
50 20 25 -0.1585
55 20 25 -0.2612
60 20 25 -0.1737
70 20 25 -0.3563
80 20 25 -0.5202
90 20 25 -0.6158
-20 25 25 -0.102
-15 25 25 -0.151
-10 25 25 -0.183
-5 25 25 -0.2002
0 25 25 -0.1983
5 25 25 -0.1939
10 25 25 -0.1664
15 25 25 -0.1502
20 25 25 -0.1482
25 25 25 -0.1595
30 25 25 -0.1478
35 25 25 -0.1356
40 25 25 -0.1159
45 25 25 -0.1003
50 25 25 -0.1588
55 25 25 -0.1702
60 25 25 -0.1719
70 25 25 -0.3697
80 25 25 -0.4961
90 25 25 -0.5951
-20 30 25 -0.082
-15 30 25 -0.123
-10 30 25 -0.15
-5 30 25 -0.1772
0 30 25 -0.1748
5 30 25 -0.1612
10 30 25 -0.1338
15 30 25 -0.1195
20 30 25 -0.1227
25 30 25 -0.125
30 30 25 -0.0814
35 30 25 -0.0808
40 30 25 -0.0582
45 30 25 -0.0933
50 30 25 -0.1771
55 30 25 -0.1812
60 30 25 -0.2333
70 30 25 -0.3534
80 30 25 -0.446
90 30 25 -0.5634
