alpha beta ele Cm
25 6 -25 0.1958
30 6 -25 0.1972
35 6 -25 0.179
40 6 -25 0.1245
45 6 -25 0.061
50 6 -25 0.0373
55 6 -25 -0.0024
60 6 -25 -0.0828
70 6 -25 -0.2054
80 6 -25 -0.3262
90 6 -25 -0.4911
-20 8 -25 0.1826
-15 8 -25 0.1534
-10 8 -25 0.1489
-5 8 -25 0.1267
0 8 -25 0.1409
5 8 -25 0.1572
10 8 -25 0.1797
15 8 -25 0.2022
20 8 -25 0.2082
25 8 -25 0.1948
30 8 -25 0.1947
35 8 -25 0.1703
40 8 -25 0.1025
45 8 -25 0.0491
50 8 -25 0.032
55 8 -25 0.0165
60 8 -25 -0.0849
70 8 -25 -0.2203
80 8 -25 -0.3283
90 8 -25 -0.5074
-20 10 -25 0.1912
-15 10 -25 0.1464
-10 10 -25 0.1493
-5 10 -25 0.1303
0 10 -25 0.1414
5 10 -25 0.1573
10 10 -25 0.1784
15 10 -25 0.2
20 10 -25 0.2061
25 10 -25 0.1953
30 10 -25 0.1901
35 10 -25 0.1459
40 10 -25 0.1028
45 10 -25 0.042
50 10 -25 0.0397
55 10 -25 0.0281
60 10 -25 -0.1004
70 10 -25 -0.2191
80 10 -25 -0.3285
90 10 -25 -0.4863
-20 15 -25 0.207
-15 15 -25 0.165
-10 15 -25 0.158
-5 15 -25 0.1373
0 15 -25 0.1448
5 15 -25 0.1568
10 15 -25 0.175
15 15 -25 0.1958
20 15 -25 0.1991
25 15 -25 0.1877
30 15 -25 0.1696
35 15 -25 0.1124
40 15 -25 0.0745
45 15 -25 0.0208
50 15 -25 -0.0114
55 15 -25 -0.0562
60 15 -25 -0.0976
70 15 -25 -0.2479
80 15 -25 -0.3763
90 15 -25 -0.5001
-20 20 -25 0.214
-15 20 -25 0.167
-10 20 -25 0.175
-5 20 -25 0.1444
0 20 -25 0.1453
5 20 -25 0.1557
10 20 -25 0.1701
15 20 -25 0.1901
20 20 -25 0.1878
25 20 -25 0.1687
30 20 -25 0.1186
35 20 -25 0.0962
40 20 -25 0.0495
45 20 -25 0.0343
50 20 -25 -0.0514
55 20 -25 -0.1373
60 20 -25 -0.1117
70 20 -25 -0.2276
80 20 -25 -0.3923
90 20 -25 -0.5124
-20 25 -25 0.216
-15 25 -25 0.158
-10 25 -25 0.153
-5 25 -25 0.1679
0 25 -25 0.1523
5 25 -25 0.154
10 25 -25 0.1663
15 25 -25 0.1755
20 25 -25 0.1618
25 25 -25 0.1406
30 25 -25 0.0889
35 25 -25 0.0757
40 25 -25 0.0406
45 25 -25 0.0338
50 25 -25 -0.0371
55 25 -25 -0.0343
60 25 -25 -0.0599
70 25 -25 -0.2518
80 25 -25 -0.3857
90 25 -25 -0.5227
-20 30 -25 0.227
-15 30 -25 0.163
-10 30 -25 0.138
-5 30 -25 0.1538
0 30 -25 0.1513
5 30 -25 0.1472
10 30 -25 0.1547
15 30 -25 0.1668
20 30 -25 0.1479
25 30 -25 0.113
30 30 -25 0.127
35 30 -25 0.1132
40 30 -25 0.1024
45 30 -25 0.06
50 30 -25 -0.0408
55 30 -25 -0.0335
60 30 -25 -0.0714
70 30 -25 -0.2503
80 30 -25 -0.3532
90 30 -25 -0.5219
-20 -30 -10 0.1469
-15 -30 -10 0.1087
-10 -30 -10 0.0784
-5 -30 -10 0.057
0 -30 -10 0.052
5 -30 -10 0.052
10 -30 -10 0.028
15 -30 -10 0.043
20 -30 -10 0.027
25 -30 -10 0.01
30 -30 -10 0.015
35 -30 -10 0.016
40 -30 -10 0.068
45 -30 -10 0.025
50 -30 -10 -0.0111
55 -30 -10 0.0002
60 -30 -10 -0.0879
70 -30 -10 -0.3429
80 -30 -10 -0.4294
90 -30 -10 -0.6208
-20 -25 -10 0.1272
-15 -25 -10 0.0956
-10 -25 -10 0.0743
-5 -25 -10 0.062
0 -25 -10 0.054
5 -25 -10 0.042
10 -25 -10 0.035
15 -25 -10 0.04
20 -25 -10 0.025
25 -25 -10 0.008
30 -25 -10 -0.035
35 -25 -10 -0.027
40 -25 -10 0.019
45 -25 -10 -0.021
50 -25 -10 0
55 -25 -10 0.0043
60 -25 -10 -0.0315
70 -25 -10 -0.3579
80 -25 -10 -0.4715
90 -25 -10 -0.6173
-20 -20 -10 0.121
-15 -20 -10 0.0947
-10 -20 -10 0.0852
-5 -20 -10 0.044
0 -20 -10 0.043
5 -20 -10 0.05
10 -20 -10 0.04
15 -20 -10 0.053
20 -20 -10 0.04
25 -20 -10 0.023
30 -20 -10 -0.017
35 -20 -10 -0.034
40 -20 -10 -0.016
45 -20 -10 -0.027
50 -20 -10 -0.007
55 -20 -10 -0.0936
60 -20 -10 -0.0384
70 -20 -10 -0.343
80 -20 -10 -0.4877
90 -20 -10 -0.6028
-20 -15 -10 0.1075
-15 -15 -10 0.0885
-10 -15 -10 0.0619
-5 -15 -10 0.032
0 -15 -10 0.039
5 -15 -10 0.053
10 -15 -10 0.04
15 -15 -10 0.06
20 -15 -10 0.05
25 -15 -10 0.038
30 -15 -10 0.003
35 -15 -10 -0.024
40 -15 -10 -0.013
45 -15 -10 -0.054
50 -15 -10 -0.0105
55 -15 -10 -0.0425
60 -15 -10 -0.1757
70 -15 -10 -0.3564
80 -15 -10 -0.4833
90 -15 -10 -0.5959
-20 -10 -10 0.0798
-15 -10 -10 0.0581
-10 -10 -10 0.039
-5 -10 -10 0.017
0 -10 -10 0.042
5 -10 -10 0.054
10 -10 -10 0.047
15 -10 -10 0.063
20 -10 -10 0.057
25 -10 -10 0.047
30 -10 -10 0.02
35 -10 -10 -0.006
40 -10 -10 -0.008
45 -10 -10 -0.05
50 -10 -10 0.0073
55 -10 -10 0.0359
60 -10 -10 -0.0962
70 -10 -10 -0.352
80 -10 -10 -0.4315
90 -10 -10 -0.5532
-20 -8 -10 0.0756
-15 -8 -10 0.0549
-10 -8 -10 0.0344
-5 -8 -10 0.016
0 -8 -10 0.041
5 -8 -10 0.053
10 -8 -10 0.048
15 -8 -10 0.063
20 -8 -10 0.056
25 -8 -10 0.048
30 -8 -10 0.04
35 -8 -10 0.004
40 -8 -10 -0.007
45 -8 -10 -0.039
50 -8 -10 -0.0085
55 -8 -10 0.0134
60 -8 -10 -0.105
70 -8 -10 -0.3363
80 -8 -10 -0.4235
90 -8 -10 -0.5881
-20 -6 -10 0.08
-15 -6 -10 0.0505
-10 -6 -10 0.029
-5 -6 -10 0.012
0 -6 -10 0.042
5 -6 -10 0.054
10 -6 -10 0.05
15 -6 -10 0.067
20 -6 -10 0.058
25 -6 -10 0.048
30 -6 -10 0.047
35 -6 -10 0.016
40 -6 -10 -0.006
45 -6 -10 -0.053
50 -6 -10 -0.0371
55 -6 -10 -0.011
60 -6 -10 -0.0912
70 -6 -10 -0.2691
80 -6 -10 -0.4238
90 -6 -10 -0.5617
-20 -4 -10 0.0827
-15 -4 -10 0.0427
-10 -4 -10 0.0249
-5 -4 -10 0.008
0 -4 -10 0.043
5 -4 -10 0.053
10 -4 -10 0.05
15 -4 -10 0.069
20 -4 -10 0.06
25 -4 -10 0.046
30 -4 -10 0.049
35 -4 -10 0.024
40 -4 -10 -0.005
45 -4 -10 -0.054
50 -4 -10 -0.0519
55 -4 -10 -0.0169
60 -4 -10 -0.0857
70 -4 -10 -0.3005
80 -4 -10 -0.4321
90 -4 -10 -0.5859
-20 -2 -10 0.0853
-15 -2 -10 0.0378
-10 -2 -10 0.0177
-5 -2 -10 0.01
0 -2 -10 0.043
5 -2 -10 0.052
10 -2 -10 0.051
15 -2 -10 0.072
20 -2 -10 0.065
25 -2 -10 0.048
30 -2 -10 0.051
35 -2 -10 0.031
40 -2 -10 -0.006
45 -2 -10 -0.039
50 -2 -10 -0.0379
55 -2 -10 -0.0113
60 -2 -10 -0.0794
70 -2 -10 -0.2924
80 -2 -10 -0.411
90 -2 -10 -0.5773
-20 0 -10 0.0864
-15 0 -10 0.0328
-10 0 -10 0.0041
-5 0 -10 0.0076
0 0 -10 0.043
5 0 -10 0.0501
10 0 -10 0.0553
15 0 -10 0.0706
20 0 -10 0.0674
25 0 -10 0.0492
30 0 -10 0.0528
35 0 -10 0.0278
40 0 -10 -0.0094
45 0 -10 -0.0411
50 0 -10 -0.0129
55 0 -10 0.0202
60 0 -10 -0.0708
70 0 -10 -0.3137
80 0 -10 -0.4236
90 0 -10 -0.5718
-20 2 -10 0.0782
-15 2 -10 0.0353
-10 2 -10 0.0169
-5 2 -10 0.007
0 2 -10 0.042
5 2 -10 0.052
10 2 -10 0.052
15 2 -10 0.071
20 2 -10 0.069
25 2 -10 0.046
30 2 -10 0.048
35 2 -10 0.028
40 2 -10 -0.022
45 2 -10 -0.047
50 2 -10 -0.0221
55 2 -10 -0.0131
60 2 -10 -0.0887
70 2 -10 -0.3113
80 2 -10 -0.4445
90 2 -10 -0.5728
-20 4 -10 0.0811
-15 4 -10 0.0426
-10 4 -10 0.0227
-5 4 -10 0.008
0 4 -10 0.043
5 4 -10 0.051
10 4 -10 0.053
15 4 -10 0.07
20 4 -10 0.066
25 4 -10 0.047
30 4 -10 0.048
35 4 -10 0.025
40 4 -10 -0.022
