alpha beta Cn_r30
-5 15 0.0154
0 15 0.0196
5 15 0.0221
10 15 0.0207
15 15 0.0164
20 15 0.0043
25 15 -0.0039
30 15 -0.0327
35 15 -0.068
40 15 -0.097
45 15 -0.0987
50 15 -0.0727
55 15 -0.0556
60 15 -0.0336
70 15 -0.0074
80 15 -0.0183
90 15 -0.01
-20 20 -0.0178
-15 20 -0.0118
-10 20 0.0027
-5 20 0.0354
0 20 0.0395
5 20 0.0411
10 20 0.0381
15 20 0.028
20 20 0.0074
25 20 0.0016
30 20 -0.0244
35 20 -0.052
40 20 -0.0872
45 20 -0.0747
50 20 -0.0489
55 20 -0.0574
60 20 -0.049
70 20 -0.0187
80 20 -0.0236
90 20 -0.0148
-20 25 -0.01
-15 25 -0.0083
-10 25 0.0037
-5 25 0.05
0 25 0.059
5 25 0.06
10 25 0.055
15 25 0.034
20 25 0.028
25 25 0.02
30 25 -0.0132
35 25 -0.0297
40 25 -0.0373
45 25 -0.0407
50 25 -0.0297
55 25 -0.0184
60 25 -0.0185
70 25 -0.0302
80 25 -0.0279
90 25 -0.0161
-20 30 -0.013
-15 30 -0.007
-10 30 0.005
-5 30 0.06
0 30 0.079
5 30 0.08
10 30 0.0725
15 30 0.056
20 30 0.0478
25 30 0.032
30 30 0.0178
35 30 0.0035
40 30 -0.0199
45 30 -0.0297
50 30 -0.0153
55 30 -0.0122
60 30 -0.0147
70 30 -0.0275
80 30 -0.0244
90 30 -0.0172
