alpha beta ele Cn
60 4 -25 -0.0141
70 4 -25 0.0105
80 4 -25 0.0011
90 4 -25 -0.0047
-20 6 -25 -0.0037
-15 6 -25 0.0068
-10 6 -25 0.0127
-5 6 -25 0.0187
0 6 -25 0.0204
5 6 -25 0.0201
10 6 -25 0.0214
15 6 -25 0.0211
20 6 -25 0.0138
25 6 -25 0.0087
30 6 -25 -0.0077
35 6 -25 -0.0265
40 6 -25 -0.0367
45 6 -25 -0.0495
50 6 -25 -0.0525
55 6 -25 -0.0421
60 6 -25 -0.0299
70 6 -25 0.011
80 6 -25 -0.0078
90 6 -25 -0.0094
-20 8 -25 0.0022
-15 8 -25 0.0148
-10 8 -25 0.0209
-5 8 -25 0.0288
0 8 -25 0.0298
5 8 -25 0.0292
10 8 -25 0.0298
15 8 -25 0.0292
20 8 -25 0.02
25 8 -25 0.0134
30 8 -25 -0.0098
35 8 -25 -0.0354
40 8 -25 -0.0466
45 8 -25 -0.0633
50 8 -25 -0.0703
55 8 -25 -0.0461
60 8 -25 -0.0413
70 8 -25 0.0055
80 8 -25 -0.0093
90 8 -25 -0.0093
-20 10 -25 0.0089
-15 10 -25 0.0197
-10 10 -25 0.0284
-5 10 -25 0.039
0 10 -25 0.0389
5 10 -25 0.0374
10 10 -25 0.038
15 10 -25 0.036
20 10 -25 0.0249
25 10 -25 0.0159
30 10 -25 -0.0123
35 10 -25 -0.0548
40 10 -25 -0.0626
45 10 -25 -0.0751
50 10 -25 -0.0872
55 10 -25 -0.0451
60 10 -25 -0.0419
70 10 -25 -0.001
80 10 -25 -0.0078
90 10 -25 -0.0097
-20 15 -25 0.0334
-15 15 -25 0.03
-10 15 -25 0.0437
-5 15 -25 0.0514
0 15 -25 0.0543
5 15 -25 0.0544
10 15 -25 0.0501
15 15 -25 0.0468
20 15 -25 0.0265
25 15 -25 0.0134
30 15 -25 -0.0222
35 15 -25 -0.0712
40 15 -25 -0.0896
45 15 -25 -0.0953
50 15 -25 -0.0777
55 15 -25 -0.0532
60 15 -25 -0.0461
70 15 -25 -0.0128
80 15 -25 -0.0099
90 15 -25 -0.0034
-20 20 -25 0.048
-15 20 -25 0.047
-10 20 -25 0.0536
-5 20 -25 0.0678
0 20 -25 0.0702
5 20 -25 0.0712
10 20 -25 0.0657
15 20 -25 0.0497
20 20 -25 0.028
25 20 -25 0.0164
30 20 -25 -0.0226
35 20 -25 -0.0578
40 20 -25 -0.0861
45 20 -25 -0.0757
50 20 -25 -0.0468
55 20 -25 -0.071
60 20 -25 -0.0556
70 20 -25 -0.0201
80 20 -25 -0.0141
90 20 -25 -0.0068
-20 25 -25 0.0582
-15 25 -25 0.0599
-10 25 -25 0.063
-5 25 -25 0.0798
0 25 -25 0.0887
5 25 -25 0.0849
10 25 -25 0.0787
15 25 -25 0.0635
20 25 -25 0.0499
25 25 -25 0.0349
30 25 -25 0.0047
35 25 -25 -0.0318
40 25 -25 -0.0259
45 25 -25 -0.0389
50 25 -25 -0.0301
55 25 -25 -0.0283
60 25 -25 -0.0253
70 25 -25 -0.0279
80 25 -25 -0.0216
90 25 -25 -0.0155
-20 30 -25 0.0547
-15 30 -25 0.0638
-10 30 -25 0.0718
-5 30 -25 0.0884
0 30 -25 0.103
5 30 -25 0.1066
10 30 -25 0.1007
15 30 -25 0.0897
20 30 -25 0.0666
25 30 -25 0.0489
30 30 -25 0.0409
35 30 -25 0.0027
40 30 -25 -0.0055
45 30 -25 -0.0244
50 30 -25 -0.0204
55 30 -25 -0.0163
60 30 -25 -0.0132
70 30 -25 -0.0235
80 30 -25 -0.0215
90 30 -25 -0.0273
-20 -30 0 -0.0538
-15 -30 0 -0.0562
-10 -30 0 -0.0672
-5 -30 0 -0.09
0 -30 0 -0.1052
5 -30 0 -0.1068
10 -30 0 -0.0981
15 -30 0 -0.0821
20 -30 0 -0.0653
25 -30 0 -0.0525
30 -30 0 -0.0302
35 -30 0 -0.0167
40 -30 0 -0.0171
45 -30 0 -0.0186
50 -30 0 -0.0351
55 -30 0 -0.0475
60 -30 0 -0.0361
70 -30 0 0.0257
80 -30 0 0.0253
90 -30 0 0.0283
-20 -25 0 -0.0575
-15 -25 0 -0.0528
-10 -25 0 -0.0643
-5 -25 0 -0.081
0 -25 0 -0.091
5 -25 0 -0.091
10 -25 0 -0.0798
15 -25 0 -0.0601
20 -25 0 -0.046
25 -25 0 -0.0408
30 -25 0 0
35 -25 0 0.0099
40 -25 0 -0.0092
45 -25 0 -0.0065
50 -25 0 -0.0231
55 -25 0 -0.0401
60 -25 0 -0.0248
70 -25 0 0.0277
80 -25 0 0.034
90 -25 0 0.0137
-20 -20 0 -0.0483
-15 -20 0 -0.0457
-10 -20 0 -0.0551
-5 -20 0 -0.0662
0 -20 0 -0.0743
5 -20 0 -0.0748
10 -20 0 -0.0718
15 -20 0 -0.0546
20 -20 0 -0.0259
25 -20 0 -0.022
30 -20 0 0.0113
35 -20 0 0.0323
40 -20 0 0.0537
45 -20 0 0.0219
50 -20 0 -0.0037
55 -20 0 -0.0043
60 -20 0 0.0038
70 -20 0 0.0171
80 -20 0 0.0243
90 -20 0 0.0127
-20 -15 0 -0.0393
-15 -15 0 -0.0334
-10 -15 0 -0.0474
-5 -15 0 -0.0521
0 -15 0 -0.0572
5 -15 0 -0.0581
10 -15 0 -0.0568
15 -15 0 -0.0522
20 -15 0 -0.029
25 -15 0 -0.0226
30 -15 0 0.0162
35 -15 0 0.0445
40 -15 0 0.0598
45 -15 0 0.0537
50 -15 0 0.0192
55 -15 0 -0.0033
60 -15 0 -0.0093
70 -15 0 0.0053
