alpha beta ele Cn
90 25 25 -0.0083
-20 30 25 0.0434
-15 30 25 0.05
-10 30 25 0.0575
-5 30 25 0.0795
0 30 25 0.093
5 30 25 0.0902
10 30 25 0.0827
15 30 25 0.069
20 30 25 0.0462
25 30 25 0.037
30 30 25 0.025
35 30 25 0.0004
40 30 25 -0.0093
45 30 25 -0.0271
50 30 25 -0.024
55 30 25 -0.0159
60 30 25 -0.0134
70 30 25 -0.0144
80 30 25 -0.0082
90 30 25 -0.0101
