alpha beta Cl_a20
5 15 -0.073
10 15 -0.0865
15 15 -0.0986
20 15 -0.09
25 15 -0.0874
30 15 -0.0623
35 15 -0.0301
40 15 -0.031
45 15 -0.0386
50 15 -0.0419
55 15 -0.0393
60 15 -0.0389
70 15 -0.0384
80 15 -0.0357
90 15 -0.0305
-20 20 -0.0231
-15 20 -0.0351
-10 20 -0.0411
-5 20 -0.0539
0 20 -0.062
5 20 -0.0741
10 20 -0.0929
15 20 -0.1044
20 20 -0.0875
25 20 -0.0954
30 20 -0.0548
35 20 -0.0567
40 20 -0.0534
45 20 -0.0457
50 20 -0.0435
55 20 -0.0452
60 20 -0.0474
70 20 -0.0486
80 20 -0.0451
90 20 -0.0388
-20 25 -0.009
-15 25 -0.022
-10 25 -0.0344
-5 25 -0.0494
0 25 -0.0575
5 25 -0.0726
10 25 -0.093
15 25 -0.1068
20 25 -0.0882
25 25 -0.0975
30 25 -0.0778
35 25 -0.0673
40 25 -0.0746
45 25 -0.0694
50 25 -0.0529
55 25 -0.0504
60 25 -0.053
70 25 -0.0596
80 25 -0.0547
90 25 -0.051
-20 30 0.0084
-15 30 -0.009
-10 30 -0.0231
-5 30 -0.0453
0 30 -0.0543
5 30 -0.0731
10 30 -0.0925
15 30 -0.1081
20 30 -0.0911
25 30 -0.1013
30 30 -0.1101
35 30 -0.0856
40 30 -0.0912
45 30 -0.0855
50 30 -0.064
55 30 -0.068
60 30 -0.0697
70 30 -0.0685
80 30 -0.068
90 30 -0.0694
