alpha beta ele Cl
0 6 -25 -0.0114
5 6 -25 -0.0142
10 6 -25 -0.0221
15 6 -25 -0.0292
20 6 -25 -0.0291
25 6 -25 -0.0263
30 6 -25 -0.0156
35 6 -25 -0.0129
40 6 -25 -0.0164
45 6 -25 -0.0134
50 6 -25 -0.0103
55 6 -25 -0.0106
60 6 -25 -0.0117
70 6 -25 -0.0114
80 6 -25 -0.0106
90 6 -25 -0.0079
-20 8 -25 -0.0224
-15 8 -25 -0.0145
-10 8 -25 -0.0112
-5 8 -25 -0.0148
0 8 -25 -0.0151
5 8 -25 -0.0192
10 8 -25 -0.0284
15 8 -25 -0.0373
20 8 -25 -0.0367
25 8 -25 -0.0347
30 8 -25 -0.019
35 8 -25 -0.0096
40 8 -25 -0.0191
45 8 -25 -0.0145
50 8 -25 -0.0183
55 8 -25 -0.021
60 8 -25 -0.0154
70 8 -25 -0.0124
80 8 -25 -0.0138
90 8 -25 -0.0145
-20 10 -25 -0.023
-15 10 -25 -0.0172
-10 10 -25 -0.0134
-5 10 -25 -0.0187
0 10 -25 -0.0187
5 10 -25 -0.0234
10 10 -25 -0.0345
15 10 -25 -0.0439
20 10 -25 -0.0446
25 10 -25 -0.0411
30 10 -25 -0.0221
35 10 -25 -0.0026
40 10 -25 -0.0171
45 10 -25 -0.0188
50 10 -25 -0.0213
55 10 -25 -0.0103
60 10 -25 -0.0163
70 10 -25 -0.0143
80 10 -25 -0.0172
90 10 -25 -0.0184
-20 15 -25 -0.0181
-15 15 -25 -0.0228
-10 15 -25 -0.0196
-5 15 -25 -0.022
0 15 -25 -0.0223
5 15 -25 -0.0296
10 15 -25 -0.0449
15 15 -25 -0.0574
20 15 -25 -0.054
25 15 -25 -0.0525
30 15 -25 -0.0304
35 15 -25 -0.0143
40 15 -25 -0.0221
45 15 -25 -0.0284
50 15 -25 -0.0384
55 15 -25 -0.0246
60 15 -25 -0.0256
70 15 -25 -0.0263
80 15 -25 -0.0279
90 15 -25 -0.0224
-20 20 -25 -0.0092
-15 20 -25 -0.0162
-10 20 -25 -0.0116
-5 20 -25 -0.024
0 20 -25 -0.026
5 20 -25 -0.0343
10 20 -25 -0.0533
15 20 -25 -0.0632
20 20 -25 -0.064
25 20 -25 -0.0637
30 20 -25 -0.0346
35 20 -25 -0.0407
40 20 -25 -0.0444
45 20 -25 -0.038
50 20 -25 -0.0513
55 20 -25 -0.0363
60 20 -25 -0.0362
70 20 -25 -0.0437
80 20 -25 -0.0375
90 20 -25 -0.0334
-20 25 -25 -0.0024
-15 25 -25 -0.0043
-10 25 -25 -0.0036
-5 25 -25 -0.0252
0 25 -25 -0.0283
5 25 -25 -0.0353
10 25 -25 -0.0548
15 25 -25 -0.0678
20 25 -25 -0.0692
25 25 -25 -0.0724
30 25 -25 -0.0624
35 25 -25 -0.0484
40 25 -25 -0.0697
45 25 -25 -0.0589
50 25 -25 -0.0612
55 25 -25 -0.0429
60 25 -25 -0.0439
70 25 -25 -0.0539
80 25 -25 -0.0477
90 25 -25 -0.0431
-20 30 -25 -0.0103
-15 30 -25 0.0065
-10 30 -25 0.0093
-5 30 -25 -0.0208
0 30 -25 -0.0274
5 30 -25 -0.0402
10 30 -25 -0.0552
15 30 -25 -0.0742
20 30 -25 -0.0741
25 30 -25 -0.0797
30 30 -25 -0.0939
35 30 -25 -0.0659
40 30 -25 -0.0757
45 30 -25 -0.0814
50 30 -25 -0.0649
55 30 -25 -0.0559
60 30 -25 -0.0636
70 30 -25 -0.0649
80 30 -25 -0.0584
90 30 -25 -0.0572
-20 -30 0 -0.0138
-15 -30 0 -0.0116
-10 -30 0 -0.0099
-5 -30 0 0.0086
0 -30 0 0.0156
5 -30 0 0.0312
10 -30 0 0.0508
15 -30 0 0.0731
20 -30 0 0.0897
25 -30 0 0.0882
30 -30 0 0.0822
35 -30 0 0.0688
40 -30 0 0.0692
45 -30 0 0.075
50 -30 0 0.0541
55 -30 0 0.0582
60 -30 0 0.0623
70 -30 0 0.065
